v,p,value
5,7,58.000000
5,8,45.000000
5,9,79.000000
5,10,74.000000
5,11,44.000000
5,12,86.000000
5,13,42.000000
5,14,56.000000
5,15,49.000000
5,16,37.000000
5,17,70.000000
5,18,53.000000
5,19,52.000000
5,20,84.000000
5,21,83.000000
5,22,48.000000
5,23,80.000000
5,24,77.000000
5,25,57.000000
5,26,49.000000
5,27,43.000000
5,28,84.000000
5,29,75.000000
5,30,46.000000
6,1,68.000000
6,2,80.000000
6,3,57.000000
6,4,41.000000
6,5,25.000000
6,6,42.000000
6,7,58.000000
6,8,45.000000
6,9,79.000000
6,10,74.000000
6,11,44.000000
6,12,86.000000
6,13,42.000000
6,14,56.000000
6,15,49.000000
6,16,37.000000
6,17,70.000000
6,18,53.000000
6,19,52.000000
6,20,84.000000
6,21,83.000000
6,22,48.000000
6,23,80.000000
6,24,77.000000
6,25,57.000000
6,26,49.000000
6,27,43.000000
6,28,84.000000
6,29,75.000000
6,30,46.000000
7,1,68.000000
7,2,80.000000
7,3,57.000000
7,4,41.000000
7,5,25.000000
7,6,42.000000
7,7,58.000000
7,8,45.000000
7,9,79.000000
7,10,74.000000
7,11,44.000000
7,12,86.000000
7,13,42.000000
7,14,56.000000
7,15,49.000000
7,16,37.000000
7,17,70.000000
7,18,53.000000
7,19,52.000000
7,20,84.000000
7,21,83.000000
7,22,48.000000
7,23,80.000000
7,24,77.000000
7,25,57.000000
7,26,49.000000
7,27,43.000000
7,28,84.000000
7,29,75.000000
7,30,46.000000
8,1,68.000000
8,2,80.000000
8,3,57.000000
8,4,41.000000
8,5,25.000000
8,6,42.000000
8,7,58.000000
8,8,45.000000
8,9,79.000000
8,10,74.000000
8,11,44.000000
8,12,86.000000
8,13,42.000000
8,14,56.000000
8,15,49.000000
8,16,37.000000
8,17,70.000000
8,18,53.000000
8,19,52.000000
8,20,84.000000
8,21,83.000000
8,22,48.000000
8,23,80.000000
8,24,77.000000
8,25,57.000000
8,26,49.000000
8,27,43.000000
8,28,84.000000
8,29,75.000000
8,30,46.000000
9,1,68.000000
9,2,80.000000
9,3,57.000000
9,4,41.000000
9,5,25.000000
9,6,42.000000
9,7,58.000000
9,8,45.000000
9,9,79.000000
9,10,74.000000
9,11,44.000000
9,12,86.000000
9,13,42.000000
9,14,56.000000
9,15,49.000000
9,16,37.000000
9,17,70.000000
9,18,53.000000
9,19,52.000000
9,20,84.000000
9,21,83.000000
9,22,48.000000
9,23,80.000000
9,24,77.000000
9,25,57.000000
9,26,49.000000
9,27,43.000000
9,28,84.000000
9,29,75.000000
9,30,46.000000
10,1,68.000000
10,2,80.000000
10,3,57.000000
10,4,41.000000
10,5,25.000000
10,6,42.000000
10,7,58.000000
10,8,45.000000
10,9,79.000000
10,10,74.000000
10,11,44.000000
10,12,86.000000
10,13,42.000000
10,14,56.000000
10,15,49.000000
10,16,37.000000
10,17,70.000000
10,18,53.000000
10,19,52.000000
10,20,84.000000
10,21,83.000000
10,22,48.000000
10,23,80.000000
10,24,77.000000
10,25,57.000000
10,26,49.000000
10,27,43.000000
10,28,84.000000
10,29,75.000000
10,30,46.000000
11,1,68.000000
11,2,80.000000
11,3,57.000000
11,4,41.000000
11,5,25.000000
11,6,42.000000
11,7,58.000000
11,8,45.000000
11,9,79.000000
11,10,74.000000
11,11,44.000000
11,12,86.000000
11,13,42.000000
11,14,56.000000
11,15,49.000000
11,16,37.000000
11,17,70.000000
11,18,53.000000
11,19,52.000000
11,20,84.000000
11,21,83.000000
11,22,48.000000
11,23,80.000000
11,24,77.000000
11,25,57.000000
11,26,49.000000
11,27,43.000000
11,28,84.000000
11,29,75.000000
11,30,46.000000
12,1,68.000000
12,2,80.000000
12,3,57.000000
12,4,41.000000
12,5,25.000000
12,6,42.000000
12,7,58.000000
12,8,45.000000
12,9,79.000000
12,10,74.000000
12,11,44.000000
12,12,86.000000
12,13,42.000000
12,14,56.000000
12,15,49.000000
12,16,37.000000
12,17,70.000000
12,18,53.000000
12,19,52.000000
12,20,84.000000
12,21,83.000000
12,22,48.000000
12,23,80.000000
12,24,77.000000
12,25,57.000000
12,26,49.000000
12,27,43.000000
12,28,84.000000
12,29,75.000000
12,30,46.000000
13,1,68.000000
13,2,80.000000
13,3,57.000000
13,4,41.000000
13,5,25.000000
13,6,42.000000
13,7,58.000000
13,8,45.000000
13,9,79.000000
13,10,74.000000
13,11,44.000000
13,12,86.000000
13,13,42.000000
13,14,56.000000
13,15,49.000000
13,16,37.000000
13,17,70.000000
13,18,53.000000
13,19,52.000000
13,20,84.000000
13,21,83.000000
13,22,48.000000
13,23,80.000000
13,24,77.000000
13,25,57.000000
13,26,49.000000
13,27,43.000000
13,28,84.000000
13,29,75.000000
13,30,46.000000
14,1,68.000000
14,2,80.000000
14,3,57.000000
14,4,41.000000
14,5,25.000000
14,6,42.000000
14,7,58.000000
14,8,45.000000
14,9,79.000000
14,10,74.000000
14,11,44.000000
14,12,86.000000
14,13,42.000000
14,14,56.000000
14,15,49.000000
14,16,37.000000
14,17,70.000000
14,18,53.000000
14,19,52.000000
14,20,84.000000
14,21,83.000000
14,22,48.000000
14,23,80.000000
14,24,77.000000
14,25,57.000000
14,26,49.000000
14,27,43.000000
14,28,84.000000
14,29,75.000000
14,30,46.000000
15,1,68.000000
15,2,80.000000
15,3,57.000000
15,4,41.000000
15,5,25.000000
15,6,42.000000
15,7,58.000000
15,8,45.000000
15,9,79.000000
15,10,74.000000
15,11,44.000000
15,12,86.000000
15,13,42.000000
15,14,56.000000
15,15,49.000000
15,16,37.000000
15,17,70.000000
15,18,53.000000
15,19,52.000000
15,20,84.000000
15,21,83.000000
15,22,48.000000
15,23,80.000000
15,24,77.000000
15,25,57.000000
15,26,49.000000
15,27,43.000000
15,28,84.000000
15,29,75.000000
15,30,46.000000
16,1,68.000000
16,2,80.000000
16,3,57.000000
16,4,41.000000
16,5,25.000000
16,6,42.000000
16,7,58.000000
16,8,45.000000
16,9,79.000000
16,10,74.000000
16,11,44.000000
16,12,86.000000
16,13,42.000000
16,14,56.000000
16,15,49.000000
16,16,37.000000
16,17,70.000000
16,18,53.000000
16,19,52.000000
16,20,84.000000
16,21,83.000000
16,22,48.000000
16,23,80.000000
16,24,77.000000
16,25,57.000000
16,26,49.000000
16,27,43.000000
16,28,84.000000
16,29,75.000000
16,30,46.000000
17,1,68.000000
17,2,80.000000
17,3,57.000000
17,4,41.000000
17,5,25.000000
17,6,42.000000
17,7,58.000000
17,8,45.000000
17,9,79.000000
17,10,74.000000
17,11,44.000000
17,12,86.000000
17,13,42.000000
17,14,56.000000
17,15,49.000000
17,16,37.000000
17,17,70.000000
17,18,53.000000
17,19,52.000000
17,20,84.000000
17,21,83.000000
17,22,48.000000
17,23,80.000000
17,24,77.000000
17,25,57.000000
17,26,49.000000
17,27,43.000000
17,28,84.000000
17,29,75.000000
17,30,46.000000
18,1,68.000000
18,2,80.000000
18,3,57.000000
18,4,41.000000
18,5,25.000000
18,6,42.000000
18,7,58.000000
18,8,45.000000
18,9,79.000000
18,10,74.000000
18,11,44.000000
18,12,86.000000
18,13,42.000000
18,14,56.000000
18,15,49.000000
18,16,37.000000
18,17,70.000000
18,18,53.000000
18,19,52.000000
18,20,84.000000
18,21,83.000000
18,22,48.000000
18,23,80.000000
18,24,77.000000
18,25,57.000000
18,26,49.000000
18,27,43.000000
18,28,84.000000
18,29,75.000000
18,30,46.000000
19,1,68.000000
19,2,80.000000
19,3,57.000000
19,4,41.000000
19,5,25.000000
19,6,42.000000
19,7,58.000000
19,8,45.000000
19,9,79.000000
19,10,74.000000
19,11,44.000000
19,12,86.000000
19,13,42.000000
19,14,56.000000
19,15,49.000000
19,16,37.000000
19,17,70.000000
19,18,53.000000
19,19,52.000000
19,20,84.000000
19,21,83.000000
19,22,48.000000
19,23,80.000000
19,24,77.000000
19,25,57.000000
19,26,49.000000
19,27,43.000000
19,28,84.000000
19,29,75.000000
19,30,46.000000
20,1,68.000000
20,2,80.000000
20,3,57.000000
20,4,41.000000
20,5,25.000000
20,6,42.000000
20,7,58.000000
20,8,45.000000
20,9,79.000000
20,10,74.000000
20,11,44.000000
20,12,86.000000
20,13,42.000000
20,14,56.000000
20,15,49.000000
20,16,37.000000
20,17,70.000000
20,18,53.000000
20,19,52.000000
20,20,84.000000
20,21,83.000000
20,22,48.000000
20,23,80.000000
20,24,77.000000
20,25,57.000000
20,26,49.000000
20,27,43.000000
20,28,84.000000
20,29,75.000000
20,30,46.000000
21,1,68.000000
21,2,80.000000
21,3,57.000000
21,4,41.000000
21,5,25.000000
21,6,42.000000
21,7,58.000000
21,8,45.000000
21,9,79.000000
21,10,74.000000
21,11,44.000000
21,12,86.000000
21,13,42.000000
21,14,56.000000
21,15,49.000000
21,16,37.000000
21,17,70.000000
21,18,53.000000
21,19,52.000000
21,20,84.000000
21,21,83.000000
21,22,48.000000
21,23,80.000000
21,24,77.000000
21,25,57.000000
21,26,49.000000
21,27,43.000000
21,28,84.000000
21,29,75.000000
21,30,46.000000
22,1,68.000000
22,2,80.000000
22,3,57.000000
22,4,41.000000
22,5,25.000000
22,6,42.000000
22,7,58.000000
22,8,45.000000
22,9,79.000000
22,10,74.000000
22,11,44.000000
22,12,86.000000
22,13,42.000000
22,14,56.000000
22,15,49.000000
22,16,37.000000
22,17,70.000000
22,18,53.000000
22,19,52.000000
22,20,84.000000
22,21,83.000000
22,22,48.000000
22,23,80.000000
22,24,77.000000
22,25,57.000000
22,26,49.000000
22,27,43.000000
22,28,84.000000
22,29,75.000000
22,30,46.000000
23,1,68.000000
23,2,80.000000
23,3,57.000000
23,4,41.000000
23,5,25.000000
23,6,42.000000
23,7,58.000000
23,8,45.000000
23,9,79.000000
23,10,74.000000
23,11,44.000000
23,12,86.000000
23,13,42.000000
23,14,56.000000
23,15,49.000000
23,16,37.000000
23,17,70.000000
23,18,53.000000
23,19,52.000000
23,20,84.000000
23,21,83.000000
23,22,48.000000
23,23,80.000000
23,24,77.000000
23,25,57.000000
23,26,49.000000
23,27,43.000000
23,28,84.000000
23,29,75.000000
23,30,46.000000
24,1,68.000000
24,2,80.000000
24,3,57.000000
24,4,41.000000
24,5,25.000000
24,6,42.000000
24,7,58.000000
24,8,45.000000
24,9,79.000000
24,10,74.000000
24,11,44.000000
24,12,86.000000
24,13,42.000000
24,14,56.000000
24,15,49.000000
24,16,37.000000
24,17,70.000000
24,18,53.000000
24,19,52.000000
24,20,84.000000
24,21,83.000000
24,22,48.000000
24,23,80.000000
24,24,77.000000
24,25,57.000000
24,26,49.000000
24,27,43.000000
24,28,84.000000
24,29,75.000000
24,30,46.000000
25,1,68.000000
25,2,80.000000
25,3,57.000000
25,4,41.000000
25,5,25.000000
25,6,42.000000
25,7,58.000000
25,8,45.000000
25,9,79.000000
25,10,74.000000
25,11,44.000000
25,12,86.000000
25,13,42.000000
25,14,56.000000
25,15,49.000000
25,16,37.000000
25,17,70.000000
25,18,53.000000
25,19,52.000000
25,20,84.000000
25,21,83.000000
25,22,48.000000
25,23,80.000000
25,24,77.000000
25,25,57.000000
25,26,49.000000
25,27,43.000000
25,28,84.000000
25,29,75.000000
25,30,46.000000
26,1,68.000000
26,2,80.000000
26,3,57.000000
26,4,41.000000
26,5,25.000000
26,6,42.000000
26,7,58.000000
26,8,45.000000
26,9,79.000000
26,10,74.000000
26,11,44.000000
26,12,86.000000
26,13,42.000000
26,14,56.000000
26,15,49.000000
26,16,37.000000
26,17,70.000000
26,18,53.000000
26,19,52.000000
26,20,84.000000
26,21,83.000000
26,22,48.000000
26,23,80.000000
26,24,77.000000
26,25,57.000000
26,26,49.000000
26,27,43.000000
26,28,84.000000
26,29,75.000000
26,30,46.000000
27,1,68.000000
27,2,80.000000
27,3,57.000000
27,4,41.000000
27,5,25.000000
27,6,42.000000
27,7,58.000000
27,8,45.000000
27,9,79.000000
27,10,74.000000
27,11,44.000000
27,12,86.000000
27,13,42.000000
27,14,56.000000
27,15,49.000000
27,16,37.000000
27,17,70.000000
27,18,53.000000
27,19,52.000000
27,20,84.000000
27,21,83.000000
27,22,48.000000
27,23,80.000000
27,24,77.000000
27,25,57.000000
27,26,49.000000
27,27,43.000000
27,28,84.000000
27,29,75.000000
27,30,46.000000
28,1,68.000000
28,2,80.000000
28,3,57.000000
28,4,41.000000
28,5,25.000000
28,6,42.000000
28,7,58.000000
28,8,45.000000
28,9,79.000000
28,10,74.000000
28,11,44.000000
28,12,86.000000
28,13,42.000000
28,14,56.000000
28,15,49.000000
28,16,37.000000
28,17,70.000000
28,18,53.000000
28,19,52.000000
28,20,84.000000
28,21,83.000000
28,22,48.000000
28,23,80.000000
28,24,77.000000
28,25,57.000000
28,26,49.000000
28,27,43.000000
28,28,84.000000
28,29,75.000000
28,30,46.000000
29,1,68.000000
29,2,80.000000
29,3,57.000000
29,4,41.000000
29,5,25.000000
29,6,42.000000
29,7,58.000000
29,8,45.000000
29,9,79.000000
29,10,74.000000
29,11,44.000000
29,12,86.000000
29,13,42.000000
29,14,56.000000
29,15,49.000000
29,16,37.000000
29,17,70.000000
29,18,53.000000
29,19,52.000000
29,20,84.000000
29,21,83.000000
29,22,48.000000
29,23,80.000000
29,24,77.000000
29,25,57.000000
29,26,49.000000
29,27,43.000000
29,28,84.000000
29,29,75.000000
29,30,46.000000
30,1,68.000000
30,2,80.000000
30,3,57.000000
30,4,41.000000
30,5,25.000000
30,6,42.000000
30,7,58.000000
30,8,45.000000
30,9,79.000000
30,10,74.000000
30,11,44.000000
30,12,86.000000
30,13,42.000000
30,14,56.000000
30,15,49.000000
30,16,37.000000
30,17,70.000000
30,18,53.000000
30,19,52.000000
30,20,84.000000
30,21,83.000000
30,22,48.000000
30,23,80.000000
30,24,77.000000
30,25,57.000000
30,26,49.000000
30,27,43.000000
30,28,84.000000
30,29,75.000000
30,30,46.000000
