v,p,value
22,7,9999.000000
22,8,480.000000
22,9,136.000000
22,10,199.000000
22,11,217.000000
22,12,183.000000
22,13,481.000000
22,14,180.000000
22,15,9999.000000
22,16,83.000000
22,17,129.000000
22,18,370.000000
22,19,480.000000
22,20,9999.000000
22,21,9999.000000
22,22,368.000000
22,23,387.000000
22,24,176.000000
22,25,484.000000
22,26,367.000000
22,27,9999.000000
22,28,498.000000
22,29,9999.000000
22,30,27.000000
23,1,277.000000
23,2,9999.000000
23,3,318.000000
23,4,9999.000000
23,5,495.000000
23,6,482.000000
23,7,9999.000000
23,8,480.000000
23,9,136.000000
23,10,199.000000
23,11,217.000000
23,12,183.000000
23,13,481.000000
23,14,180.000000
23,15,9999.000000
23,16,83.000000
23,17,129.000000
23,18,370.000000
23,19,480.000000
23,20,9999.000000
23,21,9999.000000
23,22,368.000000
23,23,387.000000
23,24,176.000000
23,25,484.000000
23,26,367.000000
23,27,9999.000000
23,28,498.000000
23,29,9999.000000
23,30,27.000000
24,1,277.000000
24,2,9999.000000
24,3,318.000000
24,4,9999.000000
24,5,495.000000
24,6,482.000000
24,7,9999.000000
24,8,480.000000
24,9,136.000000
24,10,199.000000
24,11,217.000000
24,12,183.000000
24,13,481.000000
24,14,180.000000
24,15,9999.000000
24,16,83.000000
24,17,129.000000
24,18,370.000000
24,19,480.000000
24,20,9999.000000
24,21,9999.000000
24,22,368.000000
24,23,387.000000
24,24,176.000000
24,25,484.000000
24,26,367.000000
24,27,9999.000000
24,28,498.000000
24,29,9999.000000
24,30,27.000000
25,1,277.000000
25,2,9999.000000
25,3,318.000000
25,4,9999.000000
25,5,495.000000
25,6,482.000000
25,7,9999.000000
25,8,480.000000
25,9,136.000000
25,10,199.000000
25,11,217.000000
25,12,183.000000
25,13,481.000000
25,14,180.000000
25,15,9999.000000
25,16,83.000000
25,17,129.000000
25,18,370.000000
25,19,480.000000
25,20,9999.000000
25,21,9999.000000
25,22,368.000000
25,23,387.000000
25,24,176.000000
25,25,484.000000
25,26,367.000000
25,27,9999.000000
25,28,498.000000
25,29,9999.000000
25,30,27.000000
26,1,277.000000
26,2,9999.000000
26,3,318.000000
26,4,9999.000000
26,5,495.000000
26,6,482.000000
26,7,9999.000000
26,8,480.000000
26,9,136.000000
26,10,199.000000
26,11,217.000000
26,12,183.000000
26,13,481.000000
26,14,180.000000
26,15,9999.000000
26,16,83.000000
26,17,129.000000
26,18,370.000000
26,19,480.000000
26,20,9999.000000
26,21,9999.000000
26,22,368.000000
26,23,387.000000
26,24,176.000000
26,25,484.000000
26,26,367.000000
26,27,9999.000000
26,28,498.000000
26,29,9999.000000
26,30,27.000000
27,1,277.000000
27,2,9999.000000
27,3,318.000000
27,4,9999.000000
27,5,495.000000
27,6,482.000000
27,7,9999.000000
27,8,480.000000
27,9,136.000000
27,10,199.000000
27,11,217.000000
27,12,183.000000
27,13,481.000000
27,14,180.000000
27,15,9999.000000
27,16,83.000000
27,17,129.000000
27,18,370.000000
27,19,480.000000
27,20,9999.000000
27,21,9999.000000
27,22,368.000000
27,23,387.000000
27,24,176.000000
27,25,484.000000
27,26,367.000000
27,27,9999.000000
27,28,498.000000
27,29,9999.000000
27,30,27.000000
28,1,277.000000
28,2,9999.000000
28,3,318.000000
28,4,9999.000000
28,5,495.000000
28,6,482.000000
28,7,9999.000000
28,8,480.000000
28,9,136.000000
28,10,199.000000
28,11,217.000000
28,12,183.000000
28,13,481.000000
28,14,180.000000
28,15,9999.000000
28,16,83.000000
28,17,129.000000
28,18,370.000000
28,19,480.000000
28,20,9999.000000
28,21,9999.000000
28,22,368.000000
28,23,387.000000
28,24,176.000000
28,25,484.000000
28,26,367.000000
28,27,9999.000000
28,28,498.000000
28,29,9999.000000
28,30,27.000000
29,1,277.000000
29,2,9999.000000
29,3,318.000000
29,4,9999.000000
29,5,495.000000
29,6,482.000000
29,7,9999.000000
29,8,480.000000
29,9,136.000000
29,10,199.000000
29,11,217.000000
29,12,183.000000
29,13,481.000000
29,14,180.000000
29,15,9999.000000
29,16,83.000000
29,17,129.000000
29,18,370.000000
29,19,480.000000
29,20,9999.000000
29,21,9999.000000
29,22,368.000000
29,23,387.000000
29,24,176.000000
29,25,484.000000
29,26,367.000000
29,27,9999.000000
29,28,498.000000
29,29,9999.000000
29,30,27.000000
30,1,277.000000
30,2,9999.000000
30,3,318.000000
30,4,9999.000000
30,5,495.000000
30,6,482.000000
30,7,9999.000000
30,8,480.000000
30,9,136.000000
30,10,199.000000
30,11,217.000000
30,12,183.000000
30,13,481.000000
30,14,180.000000
30,15,9999.000000
30,16,83.000000
30,17,129.000000
30,18,370.000000
30,19,480.000000
30,20,9999.000000
30,21,9999.000000
30,22,368.000000
30,23,387.000000
30,24,176.000000
30,25,484.000000
30,26,367.000000
30,27,9999.000000
30,28,498.000000
30,29,9999.000000
30,30,27.000000
