g,s_index,v,p,time,node,cost,route_type
3,1,11,0,430,1,16.000000,b
3,1,11,0,440,43,26.000000,b
3,1,11,13,441,87,27.000000,b
3,1,11,0,442,43,28.000000,b
3,1,11,0,466,25,52.000000,b
3,1,11,25,467,110,53.000000,b
3,1,11,0,468,25,54.000000,b
3,1,11,0,485,55,71.000000,b
3,1,11,25,486,111,72.000000,b
3,1,11,0,487,55,73.000000,b
3,1,11,0,548,29,83.000000,b
3,1,11,29,549,118,84.000000,b
3,1,11,0,550,29,85.000000,b
3,1,11,0,584,59,119.000000,b
3,1,11,29,585,119,120.000000,c0
3,1,11,0,586,59,121.000000,c
3,1,11,0,1001,61,139.000000,c
3,1,12,0,1,61,139.000000,a
3,1,13,0,1,61,139.000000,a
3,1,14,0,1,61,139.000000,a
3,1,14,0,413,8,155.000000,a
3,1,14,8,414,76,156.000000,b
3,1,14,0,415,8,157.000000,b
3,1,14,0,438,19,180.000000,b
3,1,14,19,439,98,181.000000,b
3,1,14,0,440,19,182.000000,b
3,1,14,0,446,7,188.000000,b
3,1,14,0,466,49,208.000000,b
3,1,14,19,467,99,209.000000,b
3,1,14,0,468,49,210.000000,b
3,1,14,0,471,38,213.000000,b
3,1,14,8,472,77,214.000000,b
3,1,14,0,473,38,215.000000,b
3,1,14,0,482,6,224.000000,b
3,1,14,6,483,72,225.000000,b
3,1,14,0,484,6,226.000000,b
3,1,14,0,488,36,230.000000,b
3,1,14,6,489,73,231.000000,b
3,1,14,0,490,36,232.000000,b
3,1,14,0,508,5,250.000000,b
3,1,14,5,509,70,251.000000,b
3,1,14,0,510,5,252.000000,b
3,1,14,0,511,35,253.000000,b
3,1,14,5,512,71,254.000000,c0
3,1,14,0,513,35,255.000000,c
3,1,14,0,1001,61,265.000000,c
3,1,15,0,1,61,265.000000,a
3,1,16,0,1,61,265.000000,a
3,1,17,0,1,61,265.000000,a
4,1,18,0,1,61,0.000000,a
4,1,18,0,255,3,24.000000,a
4,1,18,3,256,66,25.000000,b
4,1,18,0,257,3,26.000000,b
4,1,18,0,262,33,31.000000,b
4,1,18,3,263,67,32.000000,b
4,1,18,0,264,33,33.000000,b
4,1,18,0,267,23,36.000000,b
4,1,18,23,268,106,37.000000,b
4,1,18,0,269,23,38.000000,b
4,1,18,0,309,53,78.000000,b
4,1,18,23,310,107,79.000000,b
4,1,18,0,311,53,80.000000,b
4,1,18,0,331,26,100.000000,b
4,1,18,26,332,112,101.000000,b
4,1,18,0,333,26,102.000000,b
4,1,18,0,351,56,120.000000,b
4,1,18,26,352,113,121.000000,c0
4,1,18,0,353,56,122.000000,c
4,1,18,0,1001,61,133.000000,c
4,1,19,0,1,61,133.000000,a
4,1,20,0,1,61,133.000000,a
4,1,21,0,1,61,133.000000,a
4,1,21,0,298,22,137.000000,a
4,1,21,22,299,104,138.000000,b
4,1,21,0,300,22,139.000000,b
4,1,21,0,301,4,140.000000,b
4,1,21,0,321,52,160.000000,b
4,1,21,22,322,105,161.000000,b
4,1,21,0,323,52,162.000000,b
4,1,21,0,336,18,175.000000,b
4,1,21,18,337,96,176.000000,b
4,1,21,0,338,18,177.000000,b
4,1,21,0,362,48,201.000000,b
4,1,21,18,363,97,202.000000,b
4,1,21,0,364,48,203.000000,b
4,1,21,0,377,28,212.000000,b
4,1,21,28,378,116,213.000000,b
4,1,21,0,379,28,214.000000,b
4,1,21,0,415,58,250.000000,b
4,1,21,28,416,117,251.000000,c0
4,1,21,0,417,58,252.000000,c
4,1,21,0,1001,61,280.000000,c
4,1,22,0,1,61,280.000000,a
4,1,23,0,1,61,280.000000,a
5,1,24,0,1,61,0.000000,a
5,1,24,0,10,47,9.000000,a
5,1,24,0,29,33,28.000000,a
5,1,24,0,32,9,31.000000,a
5,1,24,9,33,78,32.000000,b
5,1,24,0,34,9,33.000000,b
5,1,24,0,45,52,44.000000,b
5,1,24,0,53,14,52.000000,b
5,1,24,0,63,39,62.000000,b
5,1,24,9,64,79,63.000000,b
5,1,24,0,65,39,64.000000,b
5,1,24,0,76,12,75.000000,b
5,1,24,12,77,84,76.000000,b
5,1,24,0,78,12,77.000000,b
5,1,24,0,121,42,120.000000,b
5,1,24,12,122,85,121.000000,b
5,1,24,0,123,42,122.000000,b
5,1,24,0,132,10,131.000000,b
5,1,24,10,133,80,132.000000,b
5,1,24,0,134,10,133.000000,b
5,1,24,0,148,26,147.000000,b
5,1,24,0,163,40,162.000000,b
5,1,24,10,164,81,163.000000,c0
5,1,24,0,165,40,164.000000,c
5,1,24,0,1001,61,199.000000,c
5,1,25,0,1,61,199.000000,a
5,1,26,0,1,61,199.000000,a
5,1,27,0,1,61,199.000000,a
5,1,27,0,63,30,207.000000,a
5,1,27,30,64,120,208.000000,b
5,1,27,0,65,30,209.000000,b
5,1,27,0,84,60,228.000000,b
5,1,27,30,85,121,229.000000,b
5,1,27,0,86,60,230.000000,b
5,1,27,0,111,24,255.000000,b
5,1,27,24,112,108,256.000000,b
5,1,27,0,113,24,257.000000,b
5,1,27,0,115,3,259.000000,b
5,1,27,0,151,54,295.000000,b
5,1,27,24,152,109,296.000000,c0
5,1,27,0,153,54,297.000000,c
5,1,27,0,1001,61,310.000000,c
5,1,28,0,1,61,310.000000,a
5,1,29,0,1,61,310.000000,a
5,1,29,0,27,17,336.000000,a
5,1,29,17,28,94,337.000000,b
5,1,29,0,29,17,338.000000,b
5,1,29,0,64,47,373.000000,b
5,1,29,17,65,95,374.000000,b
5,1,29,0,66,47,375.000000,b
5,1,29,0,71,16,380.000000,b
5,1,29,16,72,92,381.000000,b
5,1,29,0,73,16,382.000000,b
5,1,29,0,83,46,392.000000,b
5,1,29,16,84,93,393.000000,c0
5,1,29,0,85,46,394.000000,c
5,1,29,0,1001,61,410.000000,c
5,1,30,0,1,61,410.000000,a
