type,p/v,o_x,o_y,o_t,d_x,d_y,d_t
p,32,-111.937469,33.381199,80.000000,-111.923721,33.370323,86.000000
p,33,-111.874535,33.407578,80.000000,-111.972420,33.437412,91.000000
p,34,-111.899635,33.458153,80.000000,-111.922302,33.420162,91.000000
p,35,-111.899635,33.458153,80.000000,-111.880302,33.451069,83.000000
p,36,-111.949348,33.370842,80.000000,-111.945976,33.359787,82.000000
p,37,-111.878166,33.393040,80.000000,-111.885193,33.390652,87.000000
p,38,-111.947777,33.403759,80.000000,-111.965363,33.426353,90.000000
p,39,-111.925591,33.360573,80.000000,-111.885193,33.390652,92.000000
p,40,-111.917458,33.359936,80.000000,-111.971962,33.378220,88.000000
p,41,-111.885193,33.390652,80.000000,-111.912643,33.456669,95.000000
p,42,-111.886253,33.417732,80.000000,-111.874458,33.414860,83.000000
p,43,-111.874535,33.407578,80.000000,-111.894562,33.356625,90.000000
p,44,-111.958427,33.447372,80.000000,-111.974899,33.446938,85.000000
p,45,-111.887352,33.398224,80.000000,-111.878166,33.393040,85.000000
p,46,-111.955978,33.382446,80.000000,-111.978142,33.414810,90.000000
p,47,-111.962341,33.365047,80.000000,-111.876587,33.364101,93.000000
p,48,-111.901581,33.432884,80.000000,-111.972420,33.437412,91.000000
p,49,-111.908829,33.465794,80.000000,-111.923019,33.411171,99.000000
p,50,-111.923721,33.370323,80.000000,-111.880020,33.385670,91.000000
p,51,-111.973724,33.415833,80.000000,-111.972603,33.410400,92.000000
p,52,-111.971962,33.378220,80.000000,-111.971191,33.354240,89.000000
p,53,-111.900307,33.418320,80.000000,-111.937172,33.419273,96.000000
p,54,-111.916656,33.372021,80.000000,-111.930405,33.418995,100.000000
p,55,-111.902718,33.360310,80.000000,-111.901535,33.371090,92.000000
p,56,-111.884674,33.360336,80.000000,-111.894478,33.360287,88.000000
p,57,-111.930405,33.418995,80.000000,-111.975609,33.456398,94.000000
p,58,-111.884628,33.371159,80.000000,-111.894478,33.360287,90.000000
p,59,-111.930405,33.418995,80.000000,-111.937386,33.399036,97.000000
p,60,-111.947731,33.396492,80.000000,-111.972275,33.392796,91.000000
v,1,-111.904076,33.396568,1.000000,-111.904076,33.396568,500.000000
v,2,-111.939560,33.385902,1.000000,-111.939560,33.385902,500.000000
v,3,-111.956406,33.414665,1.000000,-111.956406,33.414665,500.000000
v,4,-111.922089,33.416653,1.000000,-111.922089,33.416653,500.000000
v,5,-111.958878,33.437088,1.000000,-111.958878,33.437088,500.000000
v,6,-111.968330,33.378147,1.000000,-111.968330,33.378147,500.000000
v,7,-111.932899,33.385677,1.000000,-111.932899,33.385677,500.000000
v,8,-111.892014,33.392868,1.000000,-111.892014,33.392868,500.000000
v,9,-111.926277,33.438377,1.000000,-111.926277,33.438377,500.000000
v,10,-111.952362,33.430958,1.000000,-111.952362,33.430958,500.000000
v,11,-111.967728,33.383842,1.000000,-111.967728,33.383842,500.000000
v,12,-111.907188,33.436024,1.000000,-111.907188,33.436024,500.000000
v,13,-111.952492,33.378208,1.000000,-111.952492,33.378208,500.000000
v,14,-111.893394,33.378349,1.000000,-111.893394,33.378349,500.000000
v,15,-111.956078,33.433620,1.000000,-111.956078,33.433620,500.000000
v,16,-111.924461,33.436485,1.000000,-111.924461,33.436485,500.000000
v,17,-111.890343,33.414772,1.000000,-111.890343,33.414772,500.000000
v,18,-111.919052,33.385696,1.000000,-111.919052,33.385696,500.000000
v,19,-111.891556,33.403301,1.000000,-111.891556,33.403301,500.000000
v,20,-111.938606,33.385956,1.000000,-111.938606,33.385956,500.000000
v,21,-111.970642,33.455025,1.000000,-111.970642,33.455025,500.000000
v,22,-111.891006,33.414730,1.000000,-111.891006,33.414730,500.000000
v,23,-111.947235,33.413788,1.000000,-111.947235,33.413788,500.000000
v,24,-111.951477,33.436039,1.000000,-111.951477,33.436039,500.000000
v,25,-111.892151,33.429436,1.000000,-111.892151,33.429436,500.000000
v,26,-111.898483,33.385754,1.000000,-111.898483,33.385754,500.000000
v,27,-111.900391,33.429279,1.000000,-111.900391,33.429279,500.000000
v,28,-111.947075,33.432148,1.000000,-111.947075,33.432148,500.000000
v,29,-111.927849,33.385117,1.000000,-111.927849,33.385117,500.000000
v,30,-111.909119,33.431286,1.000000,-111.909119,33.431286,500.000000
v,31,-111.893944,33.363926,1.000000,-111.893944,33.363926,500.000000
v,32,-111.917900,33.445728,1.000000,-111.917900,33.445728,500.000000
v,33,-111.956078,33.433620,1.000000,-111.956078,33.433620,500.000000
v,34,-111.952072,33.400085,1.000000,-111.952072,33.400085,500.000000
v,35,-111.891113,33.413052,1.000000,-111.891113,33.413052,500.000000
v,36,-111.891907,33.422676,1.000000,-111.891907,33.422676,500.000000
v,37,-111.945976,33.359787,1.000000,-111.945976,33.359787,500.000000
v,38,-111.900459,33.415787,1.000000,-111.900459,33.415787,500.000000
v,39,-111.936760,33.390030,1.000000,-111.936760,33.390030,500.000000
v,40,-111.926277,33.438377,1.000000,-111.926277,33.438377,500.000000
v,41,-111.968643,33.378189,1.000000,-111.968643,33.378189,500.000000
v,42,-111.945778,33.407406,1.000000,-111.945778,33.407406,500.000000
v,43,-111.929466,33.414757,1.000000,-111.929466,33.414757,500.000000
v,44,-111.923271,33.385277,1.000000,-111.923271,33.385277,500.000000
v,45,-111.945930,33.370995,1.000000,-111.945930,33.370995,500.000000
v,46,-111.934929,33.461910,1.000000,-111.934929,33.461910,500.000000
v,47,-111.928825,33.390194,1.000000,-111.928825,33.390194,500.000000
v,48,-111.918839,33.444012,1.000000,-111.918839,33.444012,500.000000
v,49,-111.958878,33.437164,1.000000,-111.958878,33.437164,500.000000
v,50,-111.932167,33.422016,1.000000,-111.932167,33.422016,500.000000
v,51,-111.960999,33.437016,1.000000,-111.960999,33.437016,500.000000
v,52,-111.926353,33.386341,1.000000,-111.926353,33.386341,500.000000
v,53,-111.889328,33.407482,1.000000,-111.889328,33.407482,500.000000
v,54,-111.926384,33.435707,1.000000,-111.926384,33.435707,500.000000
v,55,-111.915779,33.385612,1.000000,-111.915779,33.385612,500.000000
v,56,-111.951271,33.436119,1.000000,-111.951271,33.436119,500.000000
v,57,-111.969742,33.465569,1.000000,-111.969742,33.465569,500.000000
v,58,-111.967346,33.377159,1.000000,-111.967346,33.377159,500.000000
v,59,-111.967323,33.378109,1.000000,-111.967323,33.378109,500.000000
v,60,-111.900452,33.414787,1.000000,-111.900452,33.414787,500.000000
