name,link_id,link_key,speed_sensor_id,count_sensor_id,from_node_id,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit,speed_at_capacity,lane_capacity_in_vhc_per_hour,link_type,jam_density,wave_speed,mode_code,grade,geometry,original_geometry,BPR_alpha_term,BPR_beta_term,number_of_left_turn_lanes,length_of_left_turn_lanes,number_of_right_turn_lanes,length_of_right_turn_lanes,from_approach,to_approach,reversed_link_id,orientation_code,loop_code,
Apache Blvd,23250,23250_BA,,,10358,38938,CBD_Major Arterials ,1,0.28581,2,35.0000,35.0000,737.0000,106,190.0,12.0,"",0.0,"<LineString><coordinates>-111.926289,33.414762,0.0 -111.921344,33.414789,0.0</coordinates></LineString>","<LineString><coordinates>-111.926289,33.414766,0.0 -111.921344,33.414793,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,23250,,,
,21223,21223_AB,,,2723,12442, Outlying CBD_Centroid Connectors,1,0.44301,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.901582,33.432887,0.0 -111.909242,33.433154,0.0</coordinates></LineString>","<LineString><coordinates>-111.901582,33.432883,0.0 -111.909242,33.433150,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,21223,,,
,21223,21223_BA,,,12442,2723, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.909242,33.433146,0.0 -111.901582,33.432879,0.0</coordinates></LineString>","<LineString><coordinates>-111.909242,33.433150,0.0 -111.901582,33.432883,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,21223,,,
,21222,21222_AB,,,2723,31130, Outlying CBD_Centroid Connectors,1,0.12327,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.901586,33.432882,0.0 -111.901186,33.431125,0.0</coordinates></LineString>","<LineString><coordinates>-111.901582,33.432883,0.0 -111.901182,33.431126,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,21222,,,
,21222,21222_BA,,,31130,2723, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.901178,33.431127,0.0 -111.901578,33.432884,0.0</coordinates></LineString>","<LineString><coordinates>-111.901182,33.431126,0.0 -111.901582,33.432883,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,21222,,,
,21221,21221_AB,,,2731,34770, Outlying CBD_Centroid Connectors,1,0.14019,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.923790,33.434058,0.0 -111.926216,33.434038,0.0</coordinates></LineString>","<LineString><coordinates>-111.923790,33.434054,0.0 -111.926216,33.434034,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,21221,,,
,21221,21221_BA,,,34770,2731, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.926216,33.434030,0.0 -111.923790,33.434050,0.0</coordinates></LineString>","<LineString><coordinates>-111.926216,33.434034,0.0 -111.923790,33.434054,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,21221,,,
,2929,2929_AB,,,1143,8871, Outlying CBD_Centroid Connectors,1,0.55938,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.921438,33.457671,0.0 -111.921883,33.465779,0.0</coordinates></LineString>","<LineString><coordinates>-111.921442,33.457671,0.0 -111.921887,33.465779,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2929,,,
,2929,2929_BA,,,8871,1143, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.921891,33.465779,0.0 -111.921446,33.457671,0.0</coordinates></LineString>","<LineString><coordinates>-111.921887,33.465779,0.0 -111.921442,33.457671,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2929,,,
,2930,2930_AB,,,1143,9245, Outlying CBD_Centroid Connectors,1,0.22444,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.921441,33.457667,0.0 -111.917692,33.458522,0.0</coordinates></LineString>","<LineString><coordinates>-111.921442,33.457671,0.0 -111.917693,33.458526,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2930,,,
,2930,2930_BA,,,9245,1143, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.917694,33.458530,0.0 -111.921443,33.457675,0.0</coordinates></LineString>","<LineString><coordinates>-111.917693,33.458526,0.0 -111.921442,33.457671,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2930,,,
,2931,2931_AB,,,1143,9250, Outlying CBD_Centroid Connectors,1,0.28762,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.921441,33.457675,0.0 -111.926325,33.458486,0.0</coordinates></LineString>","<LineString><coordinates>-111.921442,33.457671,0.0 -111.926326,33.458482,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2931,,,
,2931,2931_BA,,,9250,1143, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.926327,33.458478,0.0 -111.921443,33.457667,0.0</coordinates></LineString>","<LineString><coordinates>-111.926326,33.458482,0.0 -111.921442,33.457671,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2931,,,
,2932,2932_AB,,,1143,9429, Outlying CBD_Centroid Connectors,1,0.44528,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.921446,33.457671,0.0 -111.922123,33.451235,0.0</coordinates></LineString>","<LineString><coordinates>-111.921442,33.457671,0.0 -111.922119,33.451235,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2932,,,
,2932,2932_BA,,,9429,1143, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.922115,33.451235,0.0 -111.921438,33.457671,0.0</coordinates></LineString>","<LineString><coordinates>-111.922119,33.451235,0.0 -111.921442,33.457671,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2932,,,
,2947,2947_AB,,,1149,9242, Outlying CBD_Centroid Connectors,1,0.24522,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.912642,33.456664,0.0 -111.909044,33.458552,0.0</coordinates></LineString>","<LineString><coordinates>-111.912644,33.456668,0.0 -111.909046,33.458556,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2947,,,
,2947,2947_BA,,,9242,1149, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.909048,33.458560,0.0 -111.912646,33.456672,0.0</coordinates></LineString>","<LineString><coordinates>-111.909046,33.458556,0.0 -111.912644,33.456668,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2947,,,
,2948,2948_AB,,,1149,9245, Outlying CBD_Centroid Connectors,1,0.31854,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.912642,33.456672,0.0 -111.917691,33.458530,0.0</coordinates></LineString>","<LineString><coordinates>-111.912644,33.456668,0.0 -111.917693,33.458526,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2948,,,
,2948,2948_BA,,,9245,1149, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.917695,33.458522,0.0 -111.912646,33.456664,0.0</coordinates></LineString>","<LineString><coordinates>-111.917693,33.458526,0.0 -111.912644,33.456668,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2948,,,
,2965,2965_AB,,,1156,9242, Outlying CBD_Centroid Connectors,1,0.35701,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.904407,33.461980,0.0 -111.909049,33.458560,0.0</coordinates></LineString>","<LineString><coordinates>-111.904404,33.461976,0.0 -111.909046,33.458556,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2965,,,
,2965,2965_BA,,,9242,1156, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.909043,33.458552,0.0 -111.904401,33.461972,0.0</coordinates></LineString>","<LineString><coordinates>-111.909046,33.458556,0.0 -111.904404,33.461976,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2965,,,
,2966,2966_AB,,,1157,10098, Outlying CBD_Centroid Connectors,1,0.48587,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.971392,33.432488,0.0 -111.969622,33.425596,0.0</coordinates></LineString>","<LineString><coordinates>-111.971388,33.432489,0.0 -111.969618,33.425597,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2966,,,
,2966,2966_BA,,,10098,1157, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.969614,33.425598,0.0 -111.971384,33.432490,0.0</coordinates></LineString>","<LineString><coordinates>-111.969618,33.425597,0.0 -111.971388,33.432489,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2966,,,
,2967,2967_AB,,,1157,43057, Outlying CBD_Centroid Connectors,1,0.60513,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.971388,33.432485,0.0 -111.960955,33.433245,0.0</coordinates></LineString>","<LineString><coordinates>-111.971388,33.432489,0.0 -111.960955,33.433249,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2967,,,
,2967,2967_BA,,,43057,1157, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.960955,33.433253,0.0 -111.971388,33.432493,0.0</coordinates></LineString>","<LineString><coordinates>-111.960955,33.433249,0.0 -111.971388,33.432489,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2967,,,
Rio Salado Pkwy,29704,29704_AB,,,43060,9936, Outlying CBD_Major Arterials ,1,0.32998,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.965772,33.431285,0.0 -111.965285,33.431211,0.0 -111.964784,33.430964,0.0 -111.964267,33.430531,0.0 -111.963751,33.430049,0.0 -111.963249,33.429641,0.0 -111.962866,33.429431,0.0 -111.962438,33.429320,0.0 -111.961907,33.429332,0.0 -111.960948,33.429555,0.0</coordinates></LineString>","<LineString><coordinates>-111.965771,33.431289,0.0 -111.965284,33.431215,0.0 -111.964783,33.430968,0.0 -111.964266,33.430535,0.0 -111.963750,33.430053,0.0 -111.963248,33.429645,0.0 -111.962865,33.429435,0.0 -111.962437,33.429324,0.0 -111.961906,33.429336,0.0 -111.960947,33.429559,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,29704,,,
Rio Salado Pkwy,29704,29704_BA,,,9936,43060, Outlying CBD_Major Arterials ,1,0.32998,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.960946,33.429563,0.0 -111.961905,33.429340,0.0 -111.962436,33.429328,0.0 -111.962864,33.429439,0.0 -111.963247,33.429649,0.0 -111.963749,33.430057,0.0 -111.964265,33.430539,0.0 -111.964782,33.430972,0.0 -111.965283,33.431219,0.0 -111.965770,33.431293,0.0</coordinates></LineString>","<LineString><coordinates>-111.960947,33.429559,0.0 -111.961906,33.429336,0.0 -111.962437,33.429324,0.0 -111.962865,33.429435,0.0 -111.963248,33.429645,0.0 -111.963750,33.430053,0.0 -111.964266,33.430535,0.0 -111.964783,33.430968,0.0 -111.965284,33.431215,0.0 -111.965771,33.431289,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,29704,,,
,2970,2970_AB,,,1159,9589, Outlying CBD_Centroid Connectors,1,0.21285,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.958430,33.447376,0.0 -111.961177,33.445318,0.0</coordinates></LineString>","<LineString><coordinates>-111.958427,33.447373,0.0 -111.961174,33.445315,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2970,,,
,2970,2970_BA,,,9589,1159, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.961171,33.445312,0.0 -111.958424,33.447370,0.0</coordinates></LineString>","<LineString><coordinates>-111.961174,33.445315,0.0 -111.958427,33.447373,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2970,,,
,2971,2971_AB,,,1160,9699, Outlying CBD_Centroid Connectors,1,0.32216,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.950992,33.442768,0.0 -111.945756,33.441161,0.0</coordinates></LineString>","<LineString><coordinates>-111.950991,33.442772,0.0 -111.945755,33.441165,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2971,,,
,2971,2971_BA,,,9699,1160, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.945754,33.441169,0.0 -111.950990,33.442776,0.0</coordinates></LineString>","<LineString><coordinates>-111.945755,33.441165,0.0 -111.950991,33.442772,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2971,,,
,2972,2972_AB,,,1160,9710, Outlying CBD_Centroid Connectors,1,0.25234,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.950993,33.442776,0.0 -111.954598,33.440709,0.0</coordinates></LineString>","<LineString><coordinates>-111.950991,33.442772,0.0 -111.954596,33.440705,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2972,,,
,2972,2972_BA,,,9710,1160, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.954594,33.440701,0.0 -111.950989,33.442768,0.0</coordinates></LineString>","<LineString><coordinates>-111.954596,33.440705,0.0 -111.950991,33.442772,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2972,,,
,2973,2973_AB,,,1161,9710, Outlying CBD_Centroid Connectors,1,0.14971,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.957141,33.441113,0.0 -111.954597,33.440701,0.0</coordinates></LineString>","<LineString><coordinates>-111.957140,33.441117,0.0 -111.954596,33.440705,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2973,,,
,2973,2973_BA,,,9710,1161, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.954595,33.440709,0.0 -111.957139,33.441121,0.0</coordinates></LineString>","<LineString><coordinates>-111.954596,33.440705,0.0 -111.957140,33.441117,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2973,,,
,2974,2974_AB,,,1162,9928,CBD_Centroid Connectors,1,0.19896,1,15.0000,15.0000,99999.0000,105,190.0,12.0,"",0.0,"<LineString><coordinates>-111.956085,33.433621,0.0 -111.957043,33.430848,0.0</coordinates></LineString>","<LineString><coordinates>-111.956081,33.433620,0.0 -111.957039,33.430847,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2974,,,
,2974,2974_BA,,,9928,1162,CBD_Centroid Connectors,1,1.66500,1,15.0000,15.0000,99999.0000,105,190.0,12.0,"",0.0,"<LineString><coordinates>-111.957035,33.430846,0.0 -111.956077,33.433619,0.0</coordinates></LineString>","<LineString><coordinates>-111.957039,33.430847,0.0 -111.956081,33.433620,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2974,,,
,2975,2975_AB,,,1163,43058,CBD_Centroid Connectors,1,0.56227,1,15.0000,15.0000,99999.0000,105,190.0,12.0,"",0.0,"<LineString><coordinates>-111.947228,33.413789,0.0 -111.948698,33.421854,0.0</coordinates></LineString>","<LineString><coordinates>-111.947232,33.413788,0.0 -111.948702,33.421853,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2975,,,
,2975,2975_BA,,,43058,1163,CBD_Centroid Connectors,1,1.66500,1,15.0000,15.0000,99999.0000,105,190.0,12.0,"",0.0,"<LineString><coordinates>-111.948706,33.421852,0.0 -111.947236,33.413787,0.0</coordinates></LineString>","<LineString><coordinates>-111.948702,33.421853,0.0 -111.947232,33.413788,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2975,,,
,29703,29703_AB,,,2899,13972,CBD_Centroid Connectors,1,0.30439,1,15.0000,15.0000,99999.0000,105,190.0,12.0,"",0.0,"<LineString><coordinates>-111.965370,33.426353,0.0 -111.965221,33.421938,0.0</coordinates></LineString>","<LineString><coordinates>-111.965366,33.426353,0.0 -111.965217,33.421938,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,29703,,,
,29703,29703_BA,,,13972,2899,CBD_Centroid Connectors,1,1.66500,1,15.0000,15.0000,99999.0000,105,190.0,12.0,"",0.0,"<LineString><coordinates>-111.965213,33.421938,0.0 -111.965362,33.426353,0.0</coordinates></LineString>","<LineString><coordinates>-111.965217,33.421938,0.0 -111.965366,33.426353,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,29703,,,
,2977,2977_AB,,,1163,10365,CBD_Centroid Connectors,1,0.29409,1,15.0000,15.0000,99999.0000,105,190.0,12.0,"",0.0,"<LineString><coordinates>-111.947231,33.413792,0.0 -111.952208,33.414680,0.0</coordinates></LineString>","<LineString><coordinates>-111.947232,33.413788,0.0 -111.952209,33.414676,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2977,,,
,2977,2977_BA,,,10365,1163,CBD_Centroid Connectors,1,1.66500,1,15.0000,15.0000,99999.0000,105,190.0,12.0,"",0.0,"<LineString><coordinates>-111.952210,33.414672,0.0 -111.947233,33.413784,0.0</coordinates></LineString>","<LineString><coordinates>-111.952209,33.414676,0.0 -111.947232,33.413788,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2977,,,
,2978,2978_AB,,,1163,31132,CBD_Centroid Connectors,1,0.44397,1,15.0000,15.0000,99999.0000,105,190.0,12.0,"",0.0,"<LineString><coordinates>-111.947236,33.413788,0.0 -111.947726,33.407359,0.0</coordinates></LineString>","<LineString><coordinates>-111.947232,33.413788,0.0 -111.947722,33.407359,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2978,,,
,2978,2978_BA,,,31132,1163,CBD_Centroid Connectors,1,1.66500,1,15.0000,15.0000,99999.0000,105,190.0,12.0,"",0.0,"<LineString><coordinates>-111.947718,33.407359,0.0 -111.947228,33.413788,0.0</coordinates></LineString>","<LineString><coordinates>-111.947722,33.407359,0.0 -111.947232,33.413788,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2978,,,
,2979,2979_AB,,,1164,31084, Outlying CBD_Centroid Connectors,1,0.23526,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.930106,33.455035,0.0 -111.930495,33.458433,0.0</coordinates></LineString>","<LineString><coordinates>-111.930110,33.455035,0.0 -111.930499,33.458433,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2979,,,
,2979,2979_BA,,,31084,1164, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.930503,33.458433,0.0 -111.930114,33.455035,0.0</coordinates></LineString>","<LineString><coordinates>-111.930499,33.458433,0.0 -111.930110,33.455035,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2979,,,
,2980,2980_AB,,,1164,9331, Outlying CBD_Centroid Connectors,1,0.29003,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.930110,33.455039,0.0 -111.935116,33.454720,0.0</coordinates></LineString>","<LineString><coordinates>-111.930110,33.455035,0.0 -111.935116,33.454716,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2980,,,
,2980,2980_BA,,,9331,1164, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.935116,33.454712,0.0 -111.930110,33.455031,0.0</coordinates></LineString>","<LineString><coordinates>-111.935116,33.454716,0.0 -111.930110,33.455035,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2980,,,
,2981,2981_AB,,,1164,13953, Outlying CBD_Centroid Connectors,1,0.27160,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.930114,33.455034,0.0 -111.929110,33.451184,0.0</coordinates></LineString>","<LineString><coordinates>-111.930110,33.455035,0.0 -111.929106,33.451185,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2981,,,
,2981,2981_BA,,,13953,1164, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.929102,33.451186,0.0 -111.930106,33.455036,0.0</coordinates></LineString>","<LineString><coordinates>-111.929106,33.451185,0.0 -111.930110,33.455035,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2981,,,
