p1,p2,value
4,27,0.008823
4,28,0.005429
4,29,0.002149
4,30,0.015553
4,31,0.011884
4,32,0.011831
4,33,0.004874
4,34,508.000000
4,35,378.000000
4,36,359.000000
5,1,0.007308
5,2,0.007894
5,3,0.008270
5,4,0.009822
5,5,0.000000
5,6,0.002993
5,7,0.009833
5,8,0.003234
5,9,0.011609
5,10,0.016245
5,11,0.014347
5,12,0.011370
5,13,0.008275
5,14,0.010763
5,15,0.004507
5,16,0.010752
5,17,0.007883
5,18,0.004634
5,19,0.015834
5,20,0.007765
5,21,0.011532
5,22,0.008605
5,23,0.012222
5,24,0.003924
5,25,0.013942
5,26,0.016144
5,27,0.017124
5,28,0.015045
5,29,0.008273
5,30,0.006739
5,31,0.002177
5,32,0.005442
5,33,0.007308
5,34,508.000000
5,35,378.000000
5,36,359.000000
6,1,0.006162
6,2,0.004973
6,3,0.006616
6,4,0.010911
6,5,0.002993
6,6,0.000000
6,7,0.011908
6,8,0.006183
6,9,0.011745
6,10,0.016178
6,11,0.013624
6,12,0.008979
6,13,0.005615
6,14,0.012436
6,15,0.005786
6,16,0.009628
6,17,0.008369
6,18,0.002319
6,19,0.015375
6,20,0.005442
6,21,0.008545
6,22,0.005628
6,23,0.013270
6,24,0.003079
6,25,0.011436
6,26,0.014347
6,27,0.016936
6,28,0.015665
6,29,0.009831
6,30,0.004647
6,31,0.002531
6,32,0.002484
6,33,0.009571
6,34,508.000000
6,35,378.000000
6,36,359.000000
7,1,0.010254
7,2,0.015221
7,3,0.018087
7,4,0.004167
7,5,0.009833
7,6,0.011908
7,7,0.000000
7,8,0.007571
7,9,0.007972
7,10,0.011512
7,11,0.012325
7,12,0.015751
7,13,0.017494
7,14,0.002065
7,15,0.006278
7,16,0.011468
7,17,0.006215
7,18,0.014127
7,19,0.012493
7,20,0.013189
7,21,0.019456
7,22,0.016898
7,23,0.005119
7,24,0.009745
7,25,0.018178
7,26,0.017248
7,27,0.012573
7,28,0.008405
7,29,0.002825
7,30,0.016407
7,31,0.012006
7,32,0.013525
7,33,0.002595
7,34,508.000000
7,35,378.000000
7,36,359.000000
8,1,0.008955
8,2,0.010934
8,3,0.011109
8,4,0.008831
8,5,0.003234
8,6,0.006183
8,7,0.007571
8,8,0.000000
8,9,0.011558
8,10,0.016165
8,11,0.015042
8,12,0.013817
8,13,0.011484
8,14,0.008965
8,15,0.004421
8,16,0.012050
8,17,0.007851
8,18,0.007828
8,19,0.016189
8,20,0.010303
8,21,0.014723
8,22,0.011812
8,23,0.011092
8,24,0.006069
8,25,0.016445
8,26,0.017872
8,27,0.017143
8,28,0.014260
8,29,0.006857
8,30,0.009813
8,31,0.005061
8,32,0.008557
8,33,0.004985
8,34,508.000000
8,35,378.000000
8,36,359.000000
9,1,0.006320
9,2,0.012265
9,3,0.018246
9,4,0.003817
9,5,0.011609
9,6,0.011745
9,7,0.007972
9,8,0.011558
9,9,0.000000
9,10,0.004656
9,11,0.004355
9,12,0.010260
9,13,0.016137
9,14,0.006289
9,15,0.007309
9,16,0.004891
9,17,0.003771
9,18,0.013935
9,19,0.004778
9,20,0.009402
9,21,0.016129
9,22,0.014458
9,23,0.003943
9,24,0.008666
9,25,0.012094
9,26,0.009697
9,27,0.005596
9,28,0.004296
9,29,0.005750
9,30,0.016140
9,31,0.013375
9,32,0.011870
9,33,0.008475
9,34,508.000000
9,35,378.000000
9,36,359.000000
10,1,0.010313
10,2,0.015912
10,3,0.022529
10,4,0.007774
10,5,0.016245
10,6,0.016178
10,7,0.011512
10,8,0.016165
10,9,0.004656
10,10,0.000000
10,11,0.004010
10,12,0.012722
10,13,0.020107
10,14,0.009508
10,15,0.011963
10,16,0.007627
10,17,0.008427
10,18,0.018276
10,19,0.002176
10,20,0.012986
10,21,0.019353
10,22,0.018152
10,23,0.006450
10,24,0.013117
10,25,0.013812
10,26,0.009657
10,27,0.001062
10,28,0.003735
10,29,0.009913
10,30,0.020391
10,31,0.017954
10,32,0.015976
10,33,0.012648
10,34,508.000000
10,35,378.000000
10,36,359.000000
11,1,0.007471
11,2,0.012469
11,3,0.019585
11,4,0.008162
11,5,0.014347
11,6,0.013624
11,7,0.012325
11,8,0.015042
11,9,0.004355
11,10,0.004010
11,11,0.000000
11,12,0.008822
11,13,0.016839
11,14,0.010622
11,15,0.010622
11,16,0.004175
11,17,0.007319
11,18,0.015499
11,19,0.002101
11,20,0.009597
11,21,0.015611
11,22,0.014694
11,23,0.008008
11,24,0.010726
11,25,0.009803
11,26,0.005932
11,27,0.004140
11,28,0.006716
11,29,0.009995
11,30,0.017434
11,31,0.015729
11,32,0.012943
11,33,0.012653
11,34,508.000000
11,35,378.000000
11,36,359.000000
12,1,0.005546
12,2,0.005042
12,3,0.012781
12,4,0.012400
12,5,0.011370
12,6,0.008979
12,7,0.015751
12,8,0.013817
12,9,0.010260
12,10,0.012722
12,11,0.008822
12,12,0.000000
12,13,0.009375
12,14,0.015016
12,15,0.010447
12,16,0.005411
12,17,0.009619
12,18,0.009712
12,19,0.010918
12,20,0.003607
12,21,0.006955
12,22,0.006865
12,23,0.013858
12,24,0.007749
12,25,0.002634
12,26,0.006163
12,27,0.012961
12,28,0.014382
12,29,0.012932
12,30,0.010814
12,31,0.011508
12,32,0.006922
12,33,0.014518
12,34,508.000000
12,35,378.000000
12,36,359.000000
13,1,0.009856
13,2,0.004479
13,3,0.003610
13,4,0.016103
13,5,0.008275
13,6,0.005615
13,7,0.017494
13,8,0.011484
13,9,0.016137
13,10,0.020107
13,11,0.016839
13,12,0.009375
13,13,0.000000
13,14,0.017892
13,15,0.011281
13,16,0.012673
13,17,0.013302
13,18,0.003659
13,19,0.018844
13,20,0.007244
13,21,0.004576
13,22,0.002552
13,23,0.018361
13,24,0.008040
13,25,0.010949
13,26,0.015535
13,27,0.020681
13,28,0.020339
13,29,0.015286
13,30,0.002341
13,31,0.006581
13,32,0.004311
13,33,0.015186
13,34,508.000000
13,35,378.000000
13,36,359.000000
14,1,0.009703
14,2,0.015153
14,3,0.018870
14,4,0.002710
14,5,0.010763
14,6,0.012436
14,7,0.002065
14,8,0.008965
14,9,0.006289
14,10,0.009508
14,11,0.010622
14,12,0.015016
14,13,0.017892
14,14,0.000000
14,15,0.006650
14,16,0.010309
14,17,0.005421
14,18,0.014731
14,19,0.010606
14,20,0.012836
14,21,0.019384
14,22,0.017007
14,23,0.003074
14,24,0.009904
14,25,0.017309
14,26,0.015847
14,27,0.010567
14,28,0.006340
14,29,0.002609
14,30,0.017053
14,31,0.012929
14,32,0.013737
14,33,0.004103
14,34,508.000000
14,35,378.000000
14,36,359.000000
15,1,0.005042
15,2,0.009021
15,3,0.012276
15,4,0.005339
15,5,0.004507
15,6,0.005786
15,7,0.006278
15,8,0.004421
15,9,0.007309
15,10,0.011963
15,11,0.010622
15,12,0.010447
15,13,0.011281
15,14,0.006650
15,15,0.000000
15,16,0.007759
15,17,0.003539
15,18,0.008086
15,19,0.011824
15,20,0.007333
15,21,0.013233
15,22,0.010624
15,23,0.007743
15,24,0.003488
15,25,0.013051
15,26,0.013705
15,27,0.012899
15,28,0.010544
15,29,0.004045
15,30,0.010412
15,31,0.006545
15,32,0.007247
15,33,0.004296
15,34,508.000000
15,35,378.000000
15,36,359.000000
16,1,0.003506
16,2,0.008345
16,3,0.015422
16,4,0.007600
16,5,0.010752
16,6,0.009628
16,7,0.011468
16,8,0.012050
16,9,0.004891
16,10,0.007627
16,11,0.004175
16,12,0.005411
16,13,0.012673
16,14,0.010309
16,15,0.007759
16,16,0.000000
16,17,0.005349
16,18,0.011389
16,19,0.006176
16,20,0.005443
16,21,0.011742
16,22,0.010582
16,23,0.008660
16,24,0.006914
16,25,0.007227
16,26,0.006014
16,27,0.008073
16,28,0.008972
16,29,0.008709
16,30,0.013273
16,31,0.011878
16,32,0.008781
16,33,0.010927
16,34,508.000000
16,35,378.000000
16,36,359.000000
17,1,0.004301
17,2,0.010009
17,3,0.014978
17,4,0.002969
17,5,0.007883
17,6,0.008369
17,7,0.006215
17,8,0.007851
17,9,0.003771
17,10,0.008427
17,11,0.007319
17,12,0.009619
17,13,0.013302
17,14,0.005421
17,15,0.003539
17,16,0.005349
17,17,0.000000
17,18,0.010654
17,19,0.008340
17,20,0.007494
17,21,0.014180
17,22,0.012026
17,23,0.005067
17,24,0.005367
17,25,0.011984
17,26,0.011302
17,27,0.009360
17,28,0.007310
17,29,0.003402
17,30,0.012944
17,31,0.009741
17,32,0.008999
17,33,0.005619
17,34,508.000000
17,35,378.000000
17,36,359.000000
18,1,0.008056
18,2,0.004914
18,3,0.004328
18,4,0.013229
18,5,0.004634
18,6,0.002319
18,7,0.014127
18,8,0.007828
18,9,0.013935
18,10,0.018276
18,11,0.015499
18,12,0.009712
18,13,0.003659
18,14,0.014731
18,15,0.008086
18,16,0.011389
18,17,0.010654
18,18,0.000000
18,19,0.017342
18,20,0.006519
18,21,0.007453
18,22,0.004568
18,23,0.015584
18,24,0.005306
18,25,0.011909
18,26,0.015533
18,27,0.018990
18,28,0.017928
18,29,0.012131
18,30,0.002329
18,31,0.002973
18,32,0.002832
18,33,0.011721
18,34,508.000000
18,35,378.000000
18,36,359.000000
19,1,0.009285
19,2,0.014513
19,3,0.021495
19,4,0.008459
19,5,0.015834
19,6,0.015375
19,7,0.012493
19,8,0.016189
19,9,0.004778
19,10,0.002176
19,11,0.002101
19,12,0.010918
19,13,0.018844
19,14,0.010606
19,15,0.011824
19,16,0.006176
19,17,0.008340
19,18,0.017342
19,19,0.000000
19,20,0.011619
19,21,0.017710
19,22,0.016745
19,23,0.007692
19,24,0.012392
19,25,0.011803
19,26,0.007485
19,27,0.002061
19,28,0.005584
19,29,0.010496
19,30,0.019344
19,31,0.017360
19,32,0.014865
19,33,0.013236
19,34,508.000000
19,35,378.000000
19,36,359.000000
20,1,0.003243
20,2,0.002927
20,3,0.010184
20,4,0.010458
20,5,0.007765
20,6,0.005442
20,7,0.013189
20,8,0.010303
20,9,0.009402
20,10,0.012986
20,11,0.009597
20,12,0.003607
20,13,0.007244
20,14,0.012836
20,15,0.007333
20,16,0.005443
20,17,0.007494
20,18,0.006519
20,19,0.011619
20,20,0.000000
20,21,0.006779
20,22,0.005167
20,23,0.012359
20,24,0.004259
20,25,0.006186
20,26,0.009026
20,27,0.013498
20,28,0.013697
20,29,0.010463
20,30,0.008068
20,31,0.007972
20,32,0.003697
20,33,0.011587
20,34,508.000000
20,35,378.000000
20,36,359.000000
21,1,0.010011
21,2,0.004241
21,3,0.008031
21,4,0.017146
21,5,0.011532
21,6,0.008545
21,7,0.019456
21,8,0.014723
21,9,0.016129
21,10,0.019353
21,11,0.015611
21,12,0.006955
21,13,0.004576
21,14,0.019384
21,15,0.013233
21,16,0.011742
21,17,0.014180
21,18,0.007453
21,19,0.017710
21,20,0.006779
21,21,0.000000
21,22,0.002941
21,23,0.019123
21,24,0.009746
21,25,0.007550
21,26,0.012798
21,27,0.019713
21,28,0.020421
21,29,0.016886
21,30,0.006881
21,31,0.010363
21,32,0.006218
21,33,0.017485
21,34,508.000000
21,35,378.000000
21,36,359.000000
22,1,0.008147
22,2,0.002241
22,3,0.006117
22,4,0.014948
22,5,0.008605
22,6,0.005628
22,7,0.016898
22,8,0.011812
22,9,0.014458
22,10,0.018152
22,11,0.014694
22,12,0.006865
22,13,0.002552
22,14,0.017007
22,15,0.010624
22,16,0.010582
22,17,0.012026
22,18,0.004568
22,19,0.016745
22,20,0.005167
22,21,0.002941
22,22,0.000000
22,23,0.017074
22,24,0.007158
22,25,0.008402
22,26,0.013027
22,27,0.018652
22,28,0.018734
22,29,0.014447
22,30,0.004458
22,31,0.007435
22,32,0.003415
22,33,0.014802
22,34,508.000000
22,35,378.000000
22,36,359.000000
23,1,0.009116
23,2,0.015013
23,3,0.019878
23,4,0.002403
23,5,0.012222
23,6,0.013270
23,7,0.005119
23,8,0.011092
23,9,0.003943
23,10,0.006450
23,11,0.008008
23,12,0.013858
23,13,0.018361
23,14,0.003074
23,15,0.007743
23,16,0.008660
23,17,0.005067
23,18,0.015584
23,19,0.007692
23,20,0.012359
23,21,0.019123
23,22,0.017074
23,23,0.000000
23,24,0.010369
23,25,0.015881
23,26,0.013616
23,27,0.007506
23,28,0.003349
23,29,0.004242
23,30,0.017901
23,31,0.014287
23,32,0.014063
23,33,0.006700
23,34,508.000000
23,35,378.000000
23,36,359.000000
24,1,0.003421
24,2,0.005547
24,3,0.009634
24,4,0.008072
24,5,0.003924
24,6,0.003079
24,7,0.009745
24,8,0.006069
24,9,0.008666
24,10,0.013117
24,11,0.010726
24,12,0.007749
24,13,0.008040
24,14,0.009904
24,15,0.003488
24,16,0.006914
24,17,0.005367
24,18,0.005306
24,19,0.012392
24,20,0.004259
24,21,0.009746
24,22,0.007158
24,23,0.010369
24,24,0.000000
24,25,0.010377
24,26,0.012223
24,27,0.013894
24,28,0.012622
24,29,0.007317
24,30,0.007580
24,31,0.005004
24,32,0.003832
24,33,0.007750
24,34,508.000000
24,35,378.000000
24,36,359.000000
25,1,0.008087
25,2,0.007028
25,3,0.014511
25,4,0.014640
25,5,0.013942
25,6,0.011436
25,7,0.018178
25,8,0.016445
25,9,0.012094
25,10,0.013812
25,11,0.009803
25,12,0.002634
25,13,0.010949
25,14,0.017309
25,15,0.013051
25,16,0.007227
25,17,0.011984
25,18,0.011909
25,19,0.011803
25,20,0.006186
25,21,0.007550
25,22,0.008402
25,23,0.015881
25,24,0.010377
25,25,0.000000
25,26,0.005447
25,27,0.013859
25,28,0.015983
25,29,0.015353
25,30,0.012699
25,31,0.013945
25,32,0.009222
25,33,0.017065
25,34,508.000000
25,35,378.000000
25,36,359.000000
26,1,0.008946
26,2,0.011145
26,3,0.018896
26,4,0.013178
26,5,0.016144
26,6,0.014347
26,7,0.017248
26,8,0.017872
26,9,0.009697
26,10,0.009657
26,11,0.005932
26,12,0.006163
26,13,0.015535
26,14,0.015847
26,15,0.013705
26,16,0.006014
26,17,0.011302
26,18,0.015533
26,19,0.007485
26,20,0.009026
26,21,0.012798
26,22,0.013027
26,23,0.013616
26,24,0.012223
26,25,0.005447
26,26,0.000000
26,27,0.009398
26,28,0.012647
26,29,0.014579
26,30,0.016877
26,31,0.016829
26,32,0.012702
26,33,0.016914
26,34,508.000000
26,35,378.000000
26,36,359.000000
27,1,0.010969
27,2,0.016413
27,3,0.023208
27,4,0.008823
27,5,0.017124
27,6,0.016936
27,7,0.012573
27,8,0.017143
27,9,0.005596
27,10,0.001062
27,11,0.004140
27,12,0.012961
27,13,0.020681
27,14,0.010567
27,15,0.012899
27,16,0.008073
27,17,0.009360
27,18,0.018990
27,19,0.002061
27,20,0.013498
27,21,0.019713
27,22,0.018652
27,23,0.007506
27,24,0.013894
27,25,0.013859
27,26,0.009398
27,27,0.000000
27,28,0.004687
27,29,0.010958
27,30,0.021062
27,31,0.018784
27,32,0.016614
27,33,0.013697
27,34,508.000000
27,35,378.000000
27,36,359.000000
28,1,0.010587
28,2,0.016552
28,3,0.022256
28,4,0.005429
28,5,0.015045
28,6,0.015665
28,7,0.008405
28,8,0.014260
28,9,0.004296
28,10,0.003735
28,11,0.006716
28,12,0.014382
28,13,0.020339
28,14,0.006340
28,15,0.010544
28,16,0.008972
28,17,0.007310
28,18,0.017928
28,19,0.005584
28,20,0.013697
28,21,0.020421
28,22,0.018734
28,23,0.003349
28,24,0.012622
28,25,0.015983
28,26,0.012647
28,27,0.004687
28,28,0.000000
28,29,0.007487
28,30,0.020191
28,31,0.017004
28,32,0.016042
28,33,0.010038
28,34,508.000000
28,35,378.000000
28,36,359.000000
29,1,0.007455
29,2,0.012646
29,3,0.016295
29,4,0.002149
29,5,0.008273
29,6,0.009831
29,7,0.002825
29,8,0.006857
29,9,0.005750
29,10,0.009913
29,11,0.009995
29,12,0.012932
29,13,0.015286
29,14,0.002609
29,15,0.004045
29,16,0.008709
29,17,0.003402
29,18,0.012131
29,19,0.010496
29,20,0.010463
29,21,0.016886
29,22,0.014447
29,23,0.004242
29,24,0.007317
29,25,0.015353
29,26,0.014579
29,27,0.010958
29,28,0.007487
29,29,0.000000
29,30,0.014455
29,31,0.010417
29,32,0.011148
29,33,0.002749
29,34,508.000000
29,35,378.000000
29,36,359.000000
30,1,0.010093
30,2,0.005774
30,3,0.002152
30,4,0.015553
30,5,0.006739
30,6,0.004647
30,7,0.016407
30,8,0.009813
30,9,0.016140
30,10,0.020391
30,11,0.017434
30,12,0.010814
30,13,0.002341
30,14,0.017053
30,15,0.010412
30,16,0.013273
30,17,0.012944
30,18,0.002329
30,19,0.019344
30,20,0.008068
30,21,0.006881
30,22,0.004458
30,23,0.017901
30,24,0.007580
30,25,0.012699
30,26,0.016877
30,27,0.021062
30,28,0.020191
30,29,0.014455
30,30,0.000000
30,31,0.004757
30,32,0.004492
30,33,0.013965
30,34,508.000000
30,35,378.000000
30,36,359.000000
31,1,0.008373
31,2,0.007283
31,3,0.006127
31,4,0.011884
31,5,0.002177
31,6,0.002531
31,7,0.012006
31,8,0.005061
31,9,0.013375
31,10,0.017954
31,11,0.015729
31,12,0.011508
31,13,0.006581
31,14,0.012929
31,15,0.006545
31,16,0.011878
31,17,0.009741
31,18,0.002973
31,19,0.017360
31,20,0.007972
31,21,0.010363
31,22,0.007435
31,23,0.014287
31,24,0.005004
31,25,0.013945
31,26,0.016829
31,27,0.018784
31,28,0.017004
31,29,0.010417
31,30,0.004757
31,31,0.000000
31,32,0.004816
31,33,0.009469
31,34,508.000000
31,35,378.000000
31,36,359.000000
32,1,0.005664
32,2,0.002495
32,3,0.006642
32,4,0.011831
32,5,0.005442
32,6,0.002484
32,7,0.013525
32,8,0.008557
32,9,0.011870
32,10,0.015976
32,11,0.012943
32,12,0.006922
32,13,0.004311
32,14,0.013737
32,15,0.007247
32,16,0.008781
32,17,0.008999
32,18,0.002832
32,19,0.014865
32,20,0.003697
32,21,0.006218
32,22,0.003415
32,23,0.014063
32,24,0.003832
32,25,0.009222
32,26,0.012702
32,27,0.016614
32,28,0.016042
32,29,0.011148
32,30,0.004492
32,31,0.004816
32,32,0.000000
32,33,0.011392
32,34,508.000000
32,35,378.000000
32,36,359.000000
33,1,0.008981
33,2,0.013297
33,3,0.015577
33,4,0.004874
33,5,0.007308
33,6,0.009571
33,7,0.002595
33,8,0.004985
33,9,0.008475
33,10,0.012648
33,11,0.012653
33,12,0.014518
33,13,0.015186
33,14,0.004103
33,15,0.004296
33,16,0.010927
33,17,0.005619
33,18,0.011721
33,19,0.013236
33,20,0.011587
33,21,0.017485
33,22,0.014802
33,23,0.006700
33,24,0.007750
33,25,0.017065
33,26,0.016914
33,27,0.013697
33,28,0.010038
33,29,0.002749
33,30,0.013965
33,31,0.009469
33,32,0.011392
33,33,0.000000
33,34,508.000000
33,35,378.000000
33,36,359.000000
34,1,508.000000
34,2,508.000000
34,3,508.000000
34,4,508.000000
34,5,508.000000
34,6,508.000000
34,7,508.000000
34,8,508.000000
34,9,508.000000
34,10,508.000000
34,11,508.000000
34,12,508.000000
34,13,508.000000
34,14,508.000000
34,15,508.000000
34,16,508.000000
34,17,508.000000
34,18,508.000000
34,19,508.000000
34,20,508.000000
34,21,508.000000
34,22,508.000000
34,23,508.000000
34,24,508.000000
34,25,508.000000
34,26,508.000000
34,27,508.000000
34,28,508.000000
34,29,508.000000
34,30,508.000000
34,31,508.000000
34,32,508.000000
34,33,508.000000
34,34,0.000000
34,35,130.000000
34,36,149.000000
35,1,378.000000
35,2,378.000000
35,3,378.000000
35,4,378.000000
35,5,378.000000
35,6,378.000000
35,7,378.000000
35,8,378.000000
35,9,378.000000
35,10,378.000000
35,11,378.000000
35,12,378.000000
35,13,378.000000
35,14,378.000000
35,15,378.000000
35,16,378.000000
35,17,378.000000
35,18,378.000000
35,19,378.000000
35,20,378.000000
35,21,378.000000
35,22,378.000000
35,23,378.000000
35,24,378.000000
35,25,378.000000
35,26,378.000000
35,27,378.000000
35,28,378.000000
35,29,378.000000
35,30,378.000000
35,31,378.000000
35,32,378.000000
35,33,378.000000
35,34,130.000000
35,35,0.000000
35,36,19.000000
36,1,359.000000
36,2,359.000000
36,3,359.000000
36,4,359.000000
36,5,359.000000
36,6,359.000000
36,7,359.000000
36,8,359.000000
36,9,359.000000
36,10,359.000000
36,11,359.000000
36,12,359.000000
36,13,359.000000
36,14,359.000000
36,15,359.000000
36,16,359.000000
36,17,359.000000
36,18,359.000000
36,19,359.000000
36,20,359.000000
36,21,359.000000
36,22,359.000000
36,23,359.000000
36,24,359.000000
36,25,359.000000
36,26,359.000000
36,27,359.000000
36,28,359.000000
36,29,359.000000
36,30,359.000000
36,31,359.000000
36,32,359.000000
36,33,359.000000
36,34,149.000000
36,35,19.000000
36,36,0.000000
