g,s_index,v,p,time,node,cost
1,22,4,0,576,61,0.000000
1,22,6,0,516,7,15.000000
1,22,6,7,517,74,16.000000
1,22,6,0,518,7,17.000000
1,22,6,0,540,5,39.000000
1,22,6,0,546,37,45.000000
1,22,6,7,547,75,46.000000
1,22,6,0,548,37,47.000000
1,22,6,0,585,29,84.000000
1,22,6,29,586,118,85.000000
1,22,6,0,587,29,86.000000
1,22,6,0,621,59,120.000000
1,22,6,29,622,119,121.000000
1,22,6,0,623,59,122.000000
1,22,6,0,701,61,140.000000
1,23,4,0,592,61,0.000000
1,23,6,0,500,20,14.000000
1,23,6,0,510,15,24.000000
1,23,6,15,511,90,25.000000
1,23,6,0,512,15,26.000000
1,23,6,0,528,45,42.000000
1,23,6,15,529,91,43.000000
1,23,6,0,530,45,44.000000
1,23,6,0,536,20,50.000000
1,23,6,20,537,100,51.000000
1,23,6,0,538,20,52.000000
1,23,6,0,580,50,94.000000
1,23,6,20,581,101,95.000000
1,23,6,0,582,50,96.000000
1,23,6,0,701,61,124.000000
1,24,4,0,621,61,0.000000
1,24,6,0,500,20,14.000000
1,24,6,0,510,15,24.000000
1,24,6,15,511,90,25.000000
1,24,6,0,512,15,26.000000
1,24,6,0,528,45,42.000000
1,24,6,15,529,91,43.000000
1,24,6,0,530,45,44.000000
1,24,6,0,548,27,62.000000
1,24,6,27,549,114,63.000000
1,24,6,0,550,27,64.000000
1,24,6,0,567,57,81.000000
1,24,6,27,568,115,82.000000
1,24,6,0,569,57,83.000000
1,24,6,0,701,61,95.000000
1,25,4,0,601,61,0.000000
1,25,6,0,500,20,14.000000
1,25,6,0,510,15,24.000000
1,25,6,15,511,90,25.000000
1,25,6,0,512,15,26.000000
1,25,6,0,528,45,42.000000
1,25,6,15,529,91,43.000000
1,25,6,0,530,45,44.000000
1,25,6,0,548,29,59.000000
1,25,6,29,549,118,60.000000
1,25,6,0,550,29,61.000000
1,25,6,0,584,59,95.000000
1,25,6,29,585,119,96.000000
1,25,6,0,586,59,97.000000
1,25,6,0,701,61,115.000000
1,26,4,0,596,61,0.000000
1,26,6,0,495,20,14.000000
1,26,6,20,496,100,15.000000
1,26,6,0,497,20,16.000000
1,26,6,0,539,50,58.000000
1,26,6,20,540,101,59.000000
1,26,6,0,541,50,60.000000
1,26,6,0,567,27,86.000000
1,26,6,27,568,114,87.000000
1,26,6,0,569,27,88.000000
1,26,6,0,586,57,105.000000
1,26,6,27,587,115,106.000000
1,26,6,0,588,57,107.000000
1,26,6,0,701,61,119.000000
1,27,4,0,549,61,0.000000
1,27,6,0,495,20,14.000000
1,27,6,20,496,100,15.000000
1,27,6,0,497,20,16.000000
1,27,6,0,539,50,58.000000
1,27,6,20,540,101,59.000000
1,27,6,0,541,50,60.000000
1,27,6,0,591,29,110.000000
1,27,6,29,592,118,111.000000
1,27,6,0,593,29,112.000000
1,27,6,0,627,59,146.000000
1,27,6,29,628,119,147.000000
1,27,6,0,629,59,148.000000
1,27,6,0,701,61,166.000000
1,28,4,0,623,61,0.000000
1,28,6,0,548,29,23.000000
1,28,6,29,549,118,24.000000
1,28,6,0,550,29,25.000000
1,28,6,0,576,27,51.000000
1,28,6,27,577,114,52.000000
1,28,6,0,578,27,53.000000
1,28,6,0,586,59,61.000000
1,28,6,29,587,119,62.000000
1,28,6,0,588,59,63.000000
1,28,6,0,603,57,78.000000
1,28,6,27,604,115,79.000000
1,28,6,0,605,57,80.000000
1,28,6,0,701,61,92.000000
1,29,4,0,599,61,0.000000
1,29,6,0,516,7,15.000000
1,29,6,7,517,74,16.000000
1,29,6,0,518,7,17.000000
1,29,6,0,528,4,27.000000
1,29,6,4,529,68,28.000000
1,29,6,0,530,4,29.000000
1,29,6,0,549,37,48.000000
1,29,6,7,550,75,49.000000
1,29,6,0,551,37,50.000000
1,29,6,0,552,34,51.000000
1,29,6,4,553,69,52.000000
1,29,6,0,554,34,53.000000
1,29,6,0,563,2,62.000000
1,29,6,2,564,64,63.000000
1,29,6,0,565,2,64.000000
1,29,6,0,572,46,71.000000
1,29,6,0,605,32,104.000000
1,29,6,2,606,65,105.000000
1,29,6,0,607,32,106.000000
1,29,6,0,701,61,123.000000
1,30,4,0,578,61,0.000000
1,30,6,0,500,20,14.000000
1,30,6,0,510,15,24.000000
1,30,6,15,511,90,25.000000
1,30,6,0,512,15,26.000000
1,30,6,0,528,45,42.000000
1,30,6,15,529,91,43.000000
1,30,6,0,530,45,44.000000
1,30,6,0,536,4,50.000000
1,30,6,4,537,68,51.000000
1,30,6,0,538,4,52.000000
1,30,6,0,565,2,79.000000
1,30,6,2,566,64,80.000000
1,30,6,0,567,2,81.000000
1,30,6,0,576,34,90.000000
1,30,6,4,577,69,91.000000
1,30,6,0,578,34,92.000000
1,30,6,0,611,32,125.000000
1,30,6,2,612,65,126.000000
1,30,6,0,613,32,127.000000
1,30,6,0,701,61,144.000000
1,31,4,0,590,61,0.000000
1,31,6,0,495,20,14.000000
1,31,6,20,496,100,15.000000
1,31,6,0,497,20,16.000000
1,31,6,0,528,4,26.000000
1,31,6,4,529,68,27.000000
1,31,6,0,530,4,28.000000
1,31,6,0,550,34,48.000000
1,31,6,4,551,69,49.000000
1,31,6,0,552,34,50.000000
1,31,6,0,564,50,62.000000
1,31,6,20,565,101,63.000000
1,31,6,0,566,50,64.000000
1,31,6,0,573,2,71.000000
1,31,6,2,574,64,72.000000
1,31,6,0,575,2,73.000000
1,31,6,0,582,46,80.000000
1,31,6,0,615,32,113.000000
1,31,6,2,616,65,114.000000
1,31,6,0,617,32,115.000000
1,31,6,0,701,61,132.000000
1,32,4,0,606,61,0.000000
1,32,6,0,528,4,5.000000
1,32,6,4,529,68,6.000000
1,32,6,0,530,4,7.000000
1,32,6,0,531,22,8.000000
1,32,6,0,547,27,24.000000
1,32,6,27,548,114,25.000000
1,32,6,0,549,27,26.000000
1,32,6,0,565,34,42.000000
1,32,6,4,566,69,43.000000
1,32,6,0,567,34,44.000000
1,32,6,0,576,2,53.000000
1,32,6,2,577,64,54.000000
1,32,6,0,578,2,55.000000
1,32,6,0,589,57,66.000000
1,32,6,27,590,115,67.000000
1,32,6,0,591,57,68.000000
1,32,6,0,620,32,97.000000
1,32,6,2,621,65,98.000000
1,32,6,0,622,32,99.000000
1,32,6,0,701,61,116.000000
1,33,4,0,571,61,0.000000
1,33,6,0,500,20,14.000000
1,33,6,0,510,15,24.000000
1,33,6,15,511,90,25.000000
1,33,6,0,512,15,26.000000
1,33,6,0,528,45,42.000000
1,33,6,15,529,91,43.000000
1,33,6,0,530,45,44.000000
1,33,6,0,548,27,62.000000
1,33,6,27,549,114,63.000000
1,33,6,0,550,27,64.000000
1,33,6,0,566,34,80.000000
1,33,6,0,575,2,89.000000
1,33,6,2,576,64,90.000000
1,33,6,0,577,2,91.000000
1,33,6,0,588,57,102.000000
1,33,6,27,589,115,103.000000
1,33,6,0,590,57,104.000000
1,33,6,0,619,32,133.000000
1,33,6,2,620,65,134.000000
1,33,6,0,621,32,135.000000
1,33,6,0,701,61,152.000000
1,34,4,0,545,61,0.000000
1,34,6,0,495,20,14.000000
1,34,6,20,496,100,15.000000
1,34,6,0,497,20,16.000000
1,34,6,0,539,50,58.000000
1,34,6,20,540,101,59.000000
1,34,6,0,541,50,60.000000
1,34,6,0,548,2,67.000000
1,34,6,2,549,64,68.000000
1,34,6,0,550,2,69.000000
1,34,6,0,557,46,76.000000
1,34,6,0,590,32,109.000000
1,34,6,2,591,65,110.000000
1,34,6,0,592,32,111.000000
1,34,6,0,602,29,121.000000
1,34,6,29,603,118,122.000000
1,34,6,0,604,29,123.000000
1,34,6,0,638,59,157.000000
1,34,6,29,639,119,158.000000
1,34,6,0,640,59,159.000000
1,34,6,0,701,61,177.000000
1,35,4,0,613,61,0.000000
1,35,6,0,500,20,14.000000
1,35,6,0,510,15,24.000000
1,35,6,15,511,90,25.000000
1,35,6,0,512,15,26.000000
1,35,6,0,528,45,42.000000
1,35,6,15,529,91,43.000000
1,35,6,0,530,45,44.000000
1,35,6,0,541,7,55.000000
1,35,6,7,542,74,56.000000
1,35,6,0,543,7,57.000000
1,35,6,0,553,4,67.000000
1,35,6,4,554,68,68.000000
1,35,6,0,555,4,69.000000
1,35,6,0,574,37,88.000000
1,35,6,7,575,75,89.000000
1,35,6,0,576,37,90.000000
1,35,6,0,577,34,91.000000
1,35,6,4,578,69,92.000000
1,35,6,0,579,34,93.000000
1,35,6,0,701,61,109.000000
1,36,4,0,621,61,0.000000
1,36,6,0,528,4,5.000000
1,36,6,4,529,68,6.000000
1,36,6,0,530,4,7.000000
1,36,6,0,540,7,17.000000
1,36,6,7,541,74,18.000000
1,36,6,0,542,7,19.000000
1,36,6,0,564,5,41.000000
1,36,6,0,570,37,47.000000
1,36,6,7,571,75,48.000000
1,36,6,0,572,37,49.000000
1,36,6,0,573,34,50.000000
1,36,6,4,574,69,51.000000
1,36,6,0,575,34,52.000000
1,36,6,0,591,27,68.000000
1,36,6,27,592,114,69.000000
1,36,6,0,593,27,70.000000
1,36,6,0,610,57,87.000000
1,36,6,27,611,115,88.000000
1,36,6,0,612,57,89.000000
1,36,6,0,701,61,101.000000
1,37,4,0,576,61,0.000000
1,37,5,0,528,4,5.000000
1,37,5,4,529,68,6.000000
1,37,5,0,530,4,7.000000
1,37,5,0,540,7,17.000000
1,37,5,7,541,74,18.000000
1,37,5,0,542,7,19.000000
1,37,5,0,564,5,41.000000
1,37,5,0,570,37,47.000000
1,37,5,7,571,75,48.000000
1,37,5,0,572,37,49.000000
1,37,5,0,573,34,50.000000
1,37,5,4,574,69,51.000000
1,37,5,0,575,34,52.000000
1,37,6,0,1,61,68.000000
1,37,6,0,548,29,91.000000
1,37,6,29,549,118,92.000000
1,37,6,0,550,29,93.000000
1,37,6,0,584,59,127.000000
1,37,6,29,585,119,128.000000
1,37,6,0,586,59,129.000000
1,37,6,0,701,61,147.000000
1,38,4,0,594,61,0.000000
1,38,6,0,500,20,14.000000
1,38,6,0,510,15,24.000000
1,38,6,15,511,90,25.000000
1,38,6,0,512,15,26.000000
1,38,6,0,528,45,42.000000
1,38,6,15,529,91,43.000000
1,38,6,0,530,45,44.000000
1,38,6,0,536,20,50.000000
1,38,6,20,537,100,51.000000
1,38,6,0,538,20,52.000000
1,38,6,0,548,4,62.000000
1,38,6,4,549,68,63.000000
1,38,6,0,550,4,64.000000
1,38,6,0,570,34,84.000000
1,38,6,4,571,69,85.000000
1,38,6,0,572,34,86.000000
1,38,6,0,584,50,98.000000
1,38,6,20,585,101,99.000000
1,38,6,0,586,50,100.000000
1,38,6,0,701,61,128.000000
1,39,4,0,615,61,0.000000
1,39,6,0,500,20,14.000000
1,39,6,0,510,15,24.000000
1,39,6,15,511,90,25.000000
1,39,6,0,512,15,26.000000
1,39,6,0,528,45,42.000000
1,39,6,15,529,91,43.000000
1,39,6,0,530,45,44.000000
1,39,6,0,536,4,50.000000
1,39,6,4,537,68,51.000000
1,39,6,0,538,4,52.000000
1,39,6,0,539,22,53.000000
1,39,6,0,555,27,69.000000
1,39,6,27,556,114,70.000000
1,39,6,0,557,27,71.000000
1,39,6,0,573,34,87.000000
1,39,6,4,574,69,88.000000
1,39,6,0,575,34,89.000000
1,39,6,0,580,57,94.000000
1,39,6,27,581,115,95.000000
1,39,6,0,582,57,96.000000
1,39,6,0,701,61,108.000000
1,40,4,0,586,61,0.000000
1,40,6,0,500,20,14.000000
1,40,6,0,510,15,24.000000
1,40,6,15,511,90,25.000000
1,40,6,0,512,15,26.000000
1,40,6,0,528,45,42.000000
1,40,6,15,529,91,43.000000
1,40,6,0,530,45,44.000000
1,40,6,0,548,29,59.000000
1,40,6,29,549,118,60.000000
1,40,6,0,550,29,61.000000
1,40,6,0,560,55,71.000000
1,40,6,0,570,4,81.000000
1,40,6,4,571,68,82.000000
1,40,6,0,572,4,83.000000
1,40,6,0,592,34,103.000000
1,40,6,4,593,69,104.000000
1,40,6,0,594,34,105.000000
1,40,6,0,606,59,117.000000
1,40,6,29,607,119,118.000000
1,40,6,0,608,59,119.000000
1,40,6,0,701,61,137.000000
1,41,4,0,598,61,0.000000
1,41,6,0,495,20,14.000000
1,41,6,20,496,100,15.000000
1,41,6,0,497,20,16.000000
1,41,6,0,528,4,26.000000
1,41,6,4,529,68,27.000000
1,41,6,0,530,4,28.000000
1,41,6,0,550,34,48.000000
1,41,6,4,551,69,49.000000
1,41,6,0,552,34,50.000000
1,41,6,0,564,50,62.000000
1,41,6,20,565,101,63.000000
1,41,6,0,566,50,64.000000
1,41,6,0,592,27,90.000000
1,41,6,27,593,114,91.000000
1,41,6,0,594,27,92.000000
1,41,6,0,611,57,109.000000
1,41,6,27,612,115,110.000000
1,41,6,0,613,57,111.000000
1,41,6,0,701,61,123.000000
1,42,4,0,587,61,0.000000
1,42,6,0,500,20,14.000000
1,42,6,0,510,15,24.000000
1,42,6,15,511,90,25.000000
1,42,6,0,512,15,26.000000
1,42,6,0,528,45,42.000000
1,42,6,15,529,91,43.000000
1,42,6,0,530,45,44.000000
1,42,6,0,541,7,55.000000
1,42,6,7,542,74,56.000000
1,42,6,0,543,7,57.000000
1,42,6,0,565,5,79.000000
1,42,6,0,571,37,85.000000
1,42,6,7,572,75,86.000000
1,42,6,0,573,37,87.000000
1,42,6,0,589,27,103.000000
1,42,6,27,590,114,104.000000
1,42,6,0,591,27,105.000000
1,42,6,0,608,57,122.000000
1,42,6,27,609,115,123.000000
1,42,6,0,610,57,124.000000
1,42,6,0,701,61,136.000000
1,43,4,0,594,61,0.000000
1,43,6,0,500,20,14.000000
1,43,6,0,510,15,24.000000
1,43,6,15,511,90,25.000000
1,43,6,0,512,15,26.000000
1,43,6,0,528,45,42.000000
1,43,6,15,529,91,43.000000
1,43,6,0,530,45,44.000000
1,43,6,0,548,29,59.000000
1,43,6,29,549,118,60.000000
1,43,6,0,550,29,61.000000
1,43,6,0,576,27,87.000000
1,43,6,27,577,114,88.000000
1,43,6,0,578,27,89.000000
1,43,6,0,586,59,97.000000
1,43,6,29,587,119,98.000000
1,43,6,0,588,59,99.000000
1,43,6,0,603,57,114.000000
1,43,6,27,604,115,115.000000
1,43,6,0,605,57,116.000000
1,43,6,0,701,61,128.000000
1,44,4,0,586,61,0.000000
1,44,6,0,500,20,14.000000
1,44,6,0,510,15,24.000000
1,44,6,15,511,90,25.000000
1,44,6,0,512,15,26.000000
1,44,6,0,528,45,42.000000
1,44,6,15,529,91,43.000000
1,44,6,0,530,45,44.000000
1,44,6,0,541,7,55.000000
1,44,6,7,542,74,56.000000
1,44,6,0,543,7,57.000000
1,44,6,0,553,4,67.000000
1,44,6,4,554,68,68.000000
1,44,6,0,555,4,69.000000
1,44,6,0,574,37,88.000000
1,44,6,7,575,75,89.000000
1,44,6,0,576,37,90.000000
1,44,6,0,577,34,91.000000
1,44,6,4,578,69,92.000000
1,44,6,0,579,34,93.000000
1,44,6,0,595,27,109.000000
1,44,6,27,596,114,110.000000
1,44,6,0,597,27,111.000000
1,44,6,0,614,57,128.000000
1,44,6,27,615,115,129.000000
1,44,6,0,616,57,130.000000
1,44,6,0,701,61,142.000000
1,45,4,0,567,61,0.000000
1,45,5,0,516,7,15.000000
1,45,5,7,517,74,16.000000
1,45,5,0,518,7,17.000000
1,45,5,0,540,5,39.000000
1,45,5,0,546,37,45.000000
1,45,5,7,547,75,46.000000
1,45,5,0,548,37,47.000000
1,45,6,0,1,61,62.000000
1,45,6,0,495,20,76.000000
1,45,6,20,496,100,77.000000
1,45,6,0,497,20,78.000000
1,45,6,0,539,50,120.000000
1,45,6,20,540,101,121.000000
1,45,6,0,541,50,122.000000
1,45,6,0,701,61,150.000000
1,46,4,0,544,61,0.000000
1,46,5,0,528,4,5.000000
1,46,5,4,529,68,6.000000
1,46,5,0,530,4,7.000000
1,46,5,0,557,2,34.000000
1,46,5,2,558,64,35.000000
1,46,5,0,559,2,36.000000
1,46,5,0,568,34,45.000000
1,46,5,4,569,69,46.000000
1,46,5,0,570,34,47.000000
1,46,5,0,603,32,80.000000
1,46,5,2,604,65,81.000000
1,46,5,0,605,32,82.000000
1,46,6,0,1,61,99.000000
1,46,6,0,548,29,122.000000
1,46,6,29,549,118,123.000000
1,46,6,0,550,29,124.000000
1,46,6,0,584,59,158.000000
1,46,6,29,585,119,159.000000
1,46,6,0,586,59,160.000000
1,46,6,0,701,61,178.000000
1,47,4,0,554,61,0.000000
1,47,5,0,500,20,14.000000
1,47,5,0,510,15,24.000000
1,47,5,15,511,90,25.000000
1,47,5,0,512,15,26.000000
1,47,5,0,528,45,42.000000
1,47,5,15,529,91,43.000000
1,47,5,0,530,45,44.000000
1,47,6,0,1,61,53.000000
1,47,6,0,516,7,68.000000
1,47,6,7,517,74,69.000000
1,47,6,0,518,7,70.000000
1,47,6,0,540,5,92.000000
1,47,6,0,546,37,98.000000
1,47,6,7,547,75,99.000000
1,47,6,0,548,37,100.000000
1,47,6,0,558,2,110.000000
1,47,6,2,559,64,111.000000
1,47,6,0,560,2,112.000000
1,47,6,0,567,46,119.000000
1,47,6,0,600,32,152.000000
1,47,6,2,601,65,153.000000
1,47,6,0,602,32,154.000000
1,47,6,0,701,61,171.000000
1,48,4,0,534,61,0.000000
1,48,5,0,516,7,15.000000
1,48,5,7,517,74,16.000000
1,48,5,0,518,7,17.000000
1,48,5,0,540,5,39.000000
1,48,5,0,546,37,45.000000
1,48,5,7,547,75,46.000000
1,48,5,0,548,37,47.000000
1,48,6,0,1,61,62.000000
1,48,6,0,495,20,76.000000
1,48,6,20,496,100,77.000000
1,48,6,0,497,20,78.000000
1,48,6,0,539,50,120.000000
1,48,6,20,540,101,121.000000
1,48,6,0,541,50,122.000000
1,48,6,0,548,2,129.000000
1,48,6,2,549,64,130.000000
1,48,6,0,550,2,131.000000
1,48,6,0,557,46,138.000000
1,48,6,0,590,32,171.000000
1,48,6,2,591,65,172.000000
1,48,6,0,592,32,173.000000
1,48,6,0,701,61,190.000000
1,49,4,0,559,61,0.000000
1,49,5,0,537,27,14.000000
1,49,5,27,538,114,15.000000
1,49,5,0,539,27,16.000000
1,49,5,0,556,57,33.000000
1,49,5,27,557,115,34.000000
1,49,5,0,558,57,35.000000
1,49,6,0,1,61,47.000000
1,49,6,0,516,7,62.000000
1,49,6,7,517,74,63.000000
1,49,6,0,518,7,64.000000
1,49,6,0,540,5,86.000000
1,49,6,0,546,37,92.000000
1,49,6,7,547,75,93.000000
1,49,6,0,548,37,94.000000
1,49,6,0,558,2,104.000000
1,49,6,2,559,64,105.000000
1,49,6,0,560,2,106.000000
1,49,6,0,567,46,113.000000
1,49,6,0,600,32,146.000000
1,49,6,2,601,65,147.000000
1,49,6,0,602,32,148.000000
1,49,6,0,701,61,165.000000
1,50,4,0,530,61,0.000000
1,50,5,0,516,7,15.000000
1,50,5,7,517,74,16.000000
1,50,5,0,518,7,17.000000
1,50,5,0,540,5,39.000000
1,50,5,0,546,37,45.000000
