name,link_id,TMC,from_node_id,to_node_id,link_type_name,direction,link_type_name,direction,length,length,number_of_lanes,speed_limit,lane_capacity_in_vhc_per_hour,link_type,jam_density_in_vhc_pmpl,wave_speed_in_mph,effective_green_time_length_in_second,green_start_time_in_second,AADT_conversion_factor,mode_code,grade,transit_travel_time_in_min,transit_transfer_time_in_min,transit_waiting_time_in_min,transit_fare_in_dollar,BPR_alpha_term,BPR_beta_term,BPR_distance_term,BPR_max_TT_term,fromNode_x,fromNode_y,toNode_x,toNode_y
,878,,8,50,Freeway,279,Freeway,1,30078,81,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.351185,40.080645,116.462325,39.910366
,892,,8,66,Freeway,293,Freeway,1,34411,49,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.351185,40.080645,116.161446,39.921833
,893,,8,67,Freeway,294,Freeway,1,33349,66,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.351185,40.080645,116.195843,39.907415
,897,,8,68,Freeway,298,Freeway,1,32908,63,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.351185,40.080645,116.199115,39.906761
,899,,8,69,Freeway,300,Freeway,1,33246,67,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.351185,40.080645,116.222869,39.903848
,914,,8,86,Freeway,315,Freeway,1,19224,55,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.351185,40.080645,116.187007,40.041546
,915,,8,88,Freeway,316,Freeway,1,11691,38,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.351185,40.080645,116.259572,40.043859
,916,,8,89,Freeway,317,Freeway,1,12548,41,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.351185,40.080645,116.274689,40.029898
,917,,8,87,Freeway,318,Freeway,1,17432,52,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.351185,40.080645,116.213057,40.039
,952,,9,7,Freeway,353,Freeway,1,2118,5,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.333365,40.080349,116.355214,40.080801
,954,,9,8,Freeway,355,Freeway,1,2195,6,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.333365,40.080349,116.351185,40.080645
,957,,9,13,Freeway,358,Freeway,1,1198,3,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.333365,40.080349,116.345515,40.080284
,958,,9,12,Freeway,359,Freeway,1,1722,5,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.333365,40.080349,116.341417,40.089321
,963,,9,18,Freeway,364,Freeway,1,8165,25,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.333365,40.080349,116.412908,40.074291
,967,,9,22,Freeway,368,Freeway,1,10119,31,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.333365,40.080349,116.413032,40.053004
,969,,9,23,Freeway,370,Freeway,1,10846,37,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.333365,40.080349,116.411932,40.046737
,976,,9,29,Freeway,377,Freeway,1,17380,38,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.333365,40.080349,116.4169,39.996216
,991,,9,50,Freeway,392,Freeway,1,28707,61,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.333365,40.080349,116.462325,39.910366
,1010,,9,68,Freeway,411,Freeway,1,31537,61,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.333365,40.080349,116.199115,39.906761
,1011,,9,66,Freeway,412,Freeway,1,33040,58,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.333365,40.080349,116.161446,39.921833
,1012,,9,67,Freeway,413,Freeway,1,31978,64,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.333365,40.080349,116.195843,39.907415
,1013,,9,69,Freeway,414,Freeway,1,31875,64,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.333365,40.080349,116.222869,39.903848
,1029,,9,86,Freeway,430,Freeway,1,17853,50,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.333365,40.080349,116.187007,40.041546
,1031,,9,87,Freeway,432,Freeway,1,16061,49,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.333365,40.080349,116.213057,40.039
,1033,,9,88,Freeway,434,Freeway,1,10320,35,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.333365,40.080349,116.259572,40.043859
,1035,,9,89,Freeway,436,Freeway,1,11177,37,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.333365,40.080349,116.274689,40.029898
,1297,,12,7,Freeway,698,Freeway,1,2186,6,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.341417,40.089321,116.355214,40.080801
,1298,,12,8,Freeway,699,Freeway,1,2263,6,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.341417,40.089321,116.351185,40.080645
,1299,,12,9,Freeway,700,Freeway,1,1924,7,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.341417,40.089321,116.333365,40.080349
,1301,,12,13,Freeway,702,Freeway,1,1266,4,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.341417,40.089321,116.345515,40.080284
,1306,,12,18,Freeway,707,Freeway,1,8235,24,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.341417,40.089321,116.412908,40.074291
,1311,,12,22,Freeway,712,Freeway,1,10187,31,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.341417,40.089321,116.413032,40.053004
,1314,,12,23,Freeway,715,Freeway,1,10914,37,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.341417,40.089321,116.411932,40.046737
,1320,,12,29,Freeway,721,Freeway,1,19054,44,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.341417,40.089321,116.4169,39.996216
,1339,,12,50,Freeway,740,Freeway,1,30381,82,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.341417,40.089321,116.462325,39.910366
,1354,,12,68,Freeway,755,Freeway,1,33211,65,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.341417,40.089321,116.199115,39.906761
,1355,,12,67,Freeway,756,Freeway,1,33652,66,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.341417,40.089321,116.195843,39.907415
,1357,,12,69,Freeway,758,Freeway,1,33549,68,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.341417,40.089321,116.222869,39.903848
,1359,,12,66,Freeway,760,Freeway,1,34714,63,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.341417,40.089321,116.161446,39.921833
,1372,,12,87,Freeway,773,Freeway,1,16122,39,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.341417,40.089321,116.213057,40.039
,1374,,12,86,Freeway,775,Freeway,1,17914,42,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.341417,40.089321,116.187007,40.041546
,1377,,12,88,Freeway,778,Freeway,1,11994,41,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.341417,40.089321,116.259572,40.043859
,1379,,12,89,Freeway,780,Freeway,1,12851,43,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.341417,40.089321,116.274689,40.029898
,1411,,13,8,Freeway,812,Freeway,1,998,2,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.345515,40.080284,116.351185,40.080645
,1414,,13,9,Freeway,815,Freeway,1,1864,5,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.345515,40.080284,116.333365,40.080349
,1415,,13,7,Freeway,816,Freeway,1,921,2,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.345515,40.080284,116.355214,40.080801
,1417,,13,12,Freeway,818,Freeway,1,1996,5,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.345515,40.080284,116.341417,40.089321
,1421,,13,18,Freeway,822,Freeway,1,6968,20,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.345515,40.080284,116.412908,40.074291
,1426,,13,23,Freeway,827,Freeway,1,9649,34,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.345515,40.080284,116.411932,40.046737
,1427,,13,22,Freeway,828,Freeway,1,8922,27,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.345515,40.080284,116.413032,40.053004
,1432,,13,29,Freeway,833,Freeway,1,18994,42,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.345515,40.080284,116.4169,39.996216
,1453,,13,50,Freeway,854,Freeway,1,30321,80,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.345515,40.080284,116.462325,39.910366
,1470,,13,69,Freeway,871,Freeway,1,33489,66,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.345515,40.080284,116.222869,39.903848
,1471,,13,67,Freeway,872,Freeway,1,33592,66,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.345515,40.080284,116.195843,39.907415
,1472,,13,66,Freeway,873,Freeway,1,34654,50,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.345515,40.080284,116.161446,39.921833
,1474,,13,68,Freeway,875,Freeway,1,33151,64,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.345515,40.080284,116.199115,39.906761
,1487,,13,87,Freeway,888,Freeway,1,17675,53,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.345515,40.080284,116.213057,40.039
,1491,,13,86,Freeway,892,Freeway,1,19467,55,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.345515,40.080284,116.187007,40.041546
,1492,,13,88,Freeway,893,Freeway,1,11934,38,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.345515,40.080284,116.259572,40.043859
,1494,,13,89,Freeway,895,Freeway,1,12791,41,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.345515,40.080284,116.274689,40.029898
,1987,,18,8,Freeway,1388,Freeway,1,7465,21,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.412908,40.074291,116.351185,40.080645
,1989,,18,12,Freeway,1390,Freeway,1,9202,27,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.412908,40.074291,116.341417,40.089321
,1990,,18,7,Freeway,1391,Freeway,1,7123,20,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.412908,40.074291,116.355214,40.080801
,1991,,18,9,Freeway,1392,Freeway,1,9070,27,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.412908,40.074291,116.333365,40.080349
,1993,,18,13,Freeway,1394,Freeway,1,8093,23,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.412908,40.074291,116.345515,40.080284
,2002,,18,23,Freeway,1403,Freeway,1,3093,20,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.412908,40.074291,116.411932,40.046737
,2004,,18,22,Freeway,1405,Freeway,1,2366,14,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.412908,40.074291,116.413032,40.053004
,2009,,18,29,Freeway,1410,Freeway,1,8791,44,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.412908,40.074291,116.4169,39.996216
,2029,,18,50,Freeway,1430,Freeway,1,26088,75,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.412908,40.074291,116.462325,39.910366
,2044,,18,66,Freeway,1445,Freeway,1,35534,63,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.412908,40.074291,116.161446,39.921833
,2045,,18,67,Freeway,1446,Freeway,1,34472,64,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.412908,40.074291,116.195843,39.907415
,2047,,18,68,Freeway,1448,Freeway,1,34031,86,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.412908,40.074291,116.199115,39.906761
,2051,,18,69,Freeway,1452,Freeway,1,34369,64,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.412908,40.074291,116.222869,39.903848
,2065,,18,86,Freeway,1466,Freeway,1,28119,73,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.412908,40.074291,116.187007,40.041546
,2066,,18,87,Freeway,1467,Freeway,1,25605,66,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.412908,40.074291,116.213057,40.039
,2067,,18,88,Freeway,1468,Freeway,1,21304,56,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.412908,40.074291,116.259572,40.043859
,2069,,18,89,Freeway,1470,Freeway,1,19680,52,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.412908,40.074291,116.274689,40.029898
,2447,,22,8,Freeway,1848,Freeway,1,10204,36,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.413032,40.053004,116.351185,40.080645
,2448,,22,7,Freeway,1849,Freeway,1,9862,35,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.413032,40.053004,116.355214,40.080801
,2449,,22,9,Freeway,1850,Freeway,1,11809,41,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.413032,40.053004,116.333365,40.080349
,2451,,22,12,Freeway,1852,Freeway,1,11941,41,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.413032,40.053004,116.341417,40.089321
,2453,,22,13,Freeway,1854,Freeway,1,10832,37,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.413032,40.053004,116.345515,40.080284
,2454,,22,18,Freeway,1855,Freeway,1,5307,24,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.413032,40.053004,116.412908,40.074291
,2460,,22,23,Freeway,1861,Freeway,1,728,6,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.413032,40.053004,116.411932,40.046737
,2469,,22,29,Freeway,1870,Freeway,1,6426,31,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.413032,40.053004,116.4169,39.996216
,2486,,22,50,Freeway,1887,Freeway,1,23723,66,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.413032,40.053004,116.462325,39.910366
,2503,,22,67,Freeway,1904,Freeway,1,32107,56,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.413032,40.053004,116.195843,39.907415
,2505,,22,66,Freeway,1906,Freeway,1,33169,55,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.413032,40.053004,116.161446,39.921833
,2506,,22,68,Freeway,1907,Freeway,1,31666,53,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.413032,40.053004,116.199115,39.906761
,2508,,22,69,Freeway,1909,Freeway,1,32004,56,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.413032,40.053004,116.222869,39.903848
,2525,,22,86,Freeway,1926,Freeway,1,25754,64,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.413032,40.053004,116.187007,40.041546
,2526,,22,88,Freeway,1927,Freeway,1,18939,48,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.413032,40.053004,116.259572,40.043859
,2527,,22,87,Freeway,1928,Freeway,1,23240,58,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.413032,40.053004,116.213057,40.039
,2529,,22,89,Freeway,1930,Freeway,1,17315,43,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.413032,40.053004,116.274689,40.029898
,2562,,23,7,Freeway,1963,Freeway,1,10907,33,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.411932,40.046737,116.355214,40.080801
,2563,,23,8,Freeway,1964,Freeway,1,11249,34,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.411932,40.046737,116.351185,40.080645
,2564,,23,9,Freeway,1965,Freeway,1,15533,34,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.411932,40.046737,116.333365,40.080349
,2567,,23,12,Freeway,1968,Freeway,1,17250,39,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.411932,40.046737,116.341417,40.089321
,2568,,23,13,Freeway,1969,Freeway,1,16443,36,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.411932,40.046737,116.345515,40.080284
,2575,,23,18,Freeway,1976,Freeway,1,6352,23,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.411932,40.046737,116.412908,40.074291
,2579,,23,22,Freeway,1980,Freeway,1,4188,17,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.411932,40.046737,116.413032,40.053004
,2583,,23,29,Freeway,1984,Freeway,1,6051,26,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.411932,40.046737,116.4169,39.996216
,2605,,23,50,Freeway,2006,Freeway,1,23095,63,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.411932,40.046737,116.462325,39.910366
,2618,,23,68,Freeway,2019,Freeway,1,30179,66,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.411932,40.046737,116.199115,39.906761
,2620,,23,66,Freeway,2021,Freeway,1,31682,69,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.411932,40.046737,116.161446,39.921833
,2622,,23,67,Freeway,2023,Freeway,1,30620,69,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.411932,40.046737,116.195843,39.907415
,2623,,23,69,Freeway,2024,Freeway,1,30517,69,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.411932,40.046737,116.222869,39.903848
,2637,,23,86,Freeway,2038,Freeway,1,24267,59,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.411932,40.046737,116.187007,40.041546
,2640,,23,88,Freeway,2041,Freeway,1,17452,42,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.411932,40.046737,116.259572,40.043859
,2642,,23,87,Freeway,2043,Freeway,1,21753,52,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.411932,40.046737,116.213057,40.039
,2643,,23,89,Freeway,2044,Freeway,1,15828,38,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.411932,40.046737,116.274689,40.029898
,3253,,29,8,Freeway,2654,Freeway,1,18610,49,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.4169,39.996216,116.351185,40.080645
,3254,,29,9,Freeway,2655,Freeway,1,16703,44,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.4169,39.996216,116.333365,40.080349
,3256,,29,7,Freeway,2657,Freeway,1,18533,48,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.4169,39.996216,116.355214,40.080801
,3257,,29,13,Freeway,2658,Freeway,1,17613,45,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.4169,39.996216,116.345515,40.080284
,3258,,29,12,Freeway,2659,Freeway,1,18420,49,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.4169,39.996216,116.341417,40.089321
,3264,,29,18,Freeway,2665,Freeway,1,10178,35,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.4169,39.996216,116.412908,40.074291
,3268,,29,23,Freeway,2669,Freeway,1,6418,22,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.4169,39.996216,116.411932,40.046737
,3271,,29,22,Freeway,2672,Freeway,1,8014,29,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.4169,39.996216,116.413032,40.053004
